process_id,Oper,master_desc,detail_desc,detail_id,remark,
	000IA192       ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	000IA193       ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	999999                                  ,
	000IA193       ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	Y                                       ,
	000IA203       ,	2022,	PTN No                                  ,	                                                  ,	O20220198,	12                                      ,
	000IA203       ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	999999                                  ,
	000IA203       ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	C                                       ,
	000IA203       ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	000IA203       ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	000IA216       ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	999999                                  ,
	000IA216       ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	Y                                       ,
	000IA216       ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	000IA216       ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	000IA219       ,	2022,	PTN No                                  ,	                                                  ,	O20220198,	12                                      ,
	000IA219       ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	999999                                  ,
	000IA219       ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	X                                       ,
	000IA219       ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	000IA219       ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	000IA220       ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	999999                                  ,
	000IA220       ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	Y                                       ,
	000IA220       ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	000IA220       ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	000IA232       ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	999999                                  ,
	000IA232       ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	Y                                       ,
	000IA235       ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	999999                                  ,
	000IA235       ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	Y                                       ,
	000IA235       ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	000IA235       ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	000IA250       ,	2022,	PTN No                                  ,	                                                  ,	O20220198,	12                                      ,
	000IA250       ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	999999                                  ,
	000IA250       ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	X                                       ,
	000IA250       ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	000IA250       ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	000IA259       ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	999999                                  ,
	000IA259       ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	Y                                       ,
	000IA261       ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	999999                                  ,
	000IA261       ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	Y                                       ,
	000IA261       ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	000IA261       ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	000IA268       ,	2022,	PTN No                                  ,	                                                  ,	O20220198,	12                                      ,
	000IA268       ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	999999                                  ,
	000IA268       ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	O                                       ,
	000IA268       ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	000IA268       ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	000IA278       ,	2022,	PTN No                                  ,	                                                  ,	O20220198,	12                                      ,
	000IA278       ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	999999                                  ,
	000IA278       ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	T                                       ,
	000IA278       ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	000IA278       ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	000IA281       ,	2022,	PTN No                                  ,	                                                  ,	O20220198,	12                                      ,
	000IA281       ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	999999                                  ,
	000IA281       ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	C                                       ,
	000IA281       ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	000IA281       ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	000IA283       ,	2022,	PTN No                                  ,	                                                  ,	O20220198,	12                                      ,
	000IA283       ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	999999                                  ,
	000IA283       ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	B                                       ,
