ENTITY,SUM,MODEL,STATUS,LOT#,Pre-Lot,OPER,PRODUCT,PACKAGE ID,BOND ID,WIP,IC Q'ty,IN TIME,OUTPLAN,CUST,PIN_PKG,CLOT,JCODE,UPH,LAMILATION,REMARK1,AREA,PM,SETTING OPER,Lot Part Id,Lot Urgent Code,Last Wip Lot,Last Pin Package,Last Cust,Last bd id,Last Part ID,Unnamed: 31,G.UPH,N.UPH,wip_outplan_time,ent_weight
BBRB1,,RAPID,IDLE,,,,,,AAB008Y62014A,,,2022/5/16 15:16,,,,,,,,,TB-B20,,2200,,,R20ABS809,DFN-08Y62D,WINBOND,AAB008Y62014A,1091A07T21,,1446.6071,1284.9488,,
BBRB2,,RAPID,SETUP,,,,,,AAW162KE1002A,,,2022/5/17 06:58,2022/5/17 08:28,,,,CSC,,,,TB-B20,,2200,,,R20ABSC12,DFN-08YM2D,WINBOND,AAB008YM2018A,1091A07T21,,116.275,103.2813,,
BBRB3,,RAPID,RUNNING,R20AWAZ27,,2200,162KEAW001,6143L-G2XMGIYPBFC9,AAW162KE1002A,1630,59872,2022/5/17 03:15,2022/5/17 17:16,MXIC,STBGA162BAU,8K009100,,116.275,,,TB-B20,,2200,1091G07PA4,4,R20ABSC07,DFN-08YM2D,WINBOND,AAB008YM2018A,1091A07T21,,116.275,103.2813,2022/5/17 17:16,13654.47619
BBRB4,,RAPID,WAIT-SETUP,,,,,,AAB008YM2025A,,,2022/5/17 06:45,,,,,SC,,,,TB-B20,,2200,,,R20BWE116,QFN-32YF1A,AKM,ABW032YF1012A,1091A07C41,,1368.7888,1215.8266,,
BBRB5,,RAPID,RUNNING,R20HQHP15,,3200,0442JHQ026,FSA80STH001USA{MXXX-115}{,AHQ0442J3003A,2379,36422,2022/5/17 04:35,2022/5/17 13:33,EMC,FPSTLGA44tBV,YQ225B3,,265.2178,,,TB-B20,,3200,1091A06C41,,R20HQHQ10,FPSTLGA44tBV,EMC,AHQ0442J3003A,1091A06C41,,328.6546,291.9274,2022/5/17 13:33,3062.066667
BBRB6,,RAPID,IDLE,,,,,,AAB008Y62014A,,,2022/5/17 00:29,,,,,,,,,TB-B20,,2200,,,R20ABS819,DFN-08Y62D,WINBOND,AAB008Y62014A,1091A07T21,,1446.6071,1284.9488,,
BBRB7,,RAPID,WAIT-SETUP,,,,,,ANV153XT9069A,,,2022/5/17 05:35,,,,,SC,,,,TB-B20,,3200,,,R20HQHQ12,FPSTLGA44tBV,EMC,AHQ0442J3003A,1091A06C41,,86.6865,76.9993,,
BBRB8,,RAPID,RUNNING,R20AWAZ17,,2200,162KEAW001,6143L-G2XMGIYPBFC9,AAW162KE1002A,1660,59872,2022/5/17 03:24,2022/5/17 17:41,MXIC,STBGA162BAU,8K009100,,116.275,,,TB-B17,,2200,1091G07PA4,4,R19HQHD15,FPSTLGA44X4V,EMC,AHQ0442J4004A,1091A06C41,,116.275,103.2813,2022/5/17 17:41,13654.47619
BBRB9,,RAPID,RUNNING,R20HQHQ13,,3200,0442JHQ026,FSA80STH001USA{MXXX-115}{,AHQ0442J3003A,2347,36909,2022/5/17 00:38,2022/5/17 09:29,EMC,FPSTLGA44tBV,YQ225B4,,265.2178,,,TB-B17,,3200,1091A06C41,,R20HQHP09,FPSTLGA44tBV,EMC,AHQ0442J3003A,1091A06C41,,328.6546,291.9274,2022/5/17 09:29,3062.066667
BBRC1,,RAPID,ENG,,,,,,ANV153XT9071A,,,2022/5/13 10:29,2022/5/13 10:29,,,,PE,,,,TB-B17,,2200,,,R15NVRB11,SSBGA153JAVT,PHISON,ANV153XT9071A,1091A08C41,,109.4926,97.2568,,
BBRC2,,RAPID,RUNNING,R20MSDK02,,2200,078ENMS009,Z11B1SA8CMS2693{R-low alp,AMS078EN1001A,3600,31112,2022/5/17 01:36,2022/5/17 16:16,MTI,FBGA-78UEN,254038B.00L,,245.2455,,,TB-B17,,2200,,,R20MSDC04,FBGA-78UEN,MTI,AMS078EN1001A,1091A06T21,,245.2455,217.8393,2022/5/17 16:16,87283.96667
BBRC3,,RAPID,RUNNING,R20GJKA16A,,2200,252X2GJ006,60078431{XX},AGJ252X20003A,1200,19002,2022/5/16 21:14,2022/5/17 13:43,A-DATA,STBGA252C4V,141722,,72.8045,,,TB-B17,,2200,1091A07C41,4,R20GJKA08,STBGA252C4V,A-DATA,AGJ252X20003A,1091A07C41,,72.8045,64.6686,2022/5/17 13:43,1563.238095
BBRC4,,RAPID,RUNNING,R20HQHM13,,3200,0442JHQ033,FSA80STH002USA{MXXX-85-EM,AHQ0442J3008A,2388,37059,2022/5/17 05:23,2022/5/17 14:03,EMC,FPSTLGA44YBV,YQ225B1,,275.5717,,,TB-B17,,3200,1091A06C41,,R19HQHF13,FPSTLGA44YBV,EMC,AHQ0442J3005A,1091A06C41,,328.6546,291.9274,2022/5/17 14:03,8985.533333
