process_id,Oper,master_desc,detail_id,remark
0086A106,2130,Entity,E21300199,DB-700
0086A106,2200,Entity (KNS),E22000298,Iconn
0086A106,2250,Entity,E22500199,E&R
0086A106,2070,Lot Size,O20700198,1600
0086A106,2010,Entity Code,R20100698,O
0086A106,2051,PTN No,R20510198,15
0086A106,2140,PTN no,R21400198,11
0086A106,2140,PTN no,R21400198,11
0086A106,2150,PTN no,R21500198,05
0086A106,2250,PTN no,R22500198,15
0086A106,2330,PTN no,R23300398,01
0086A106,2040,Support Entity,S20400199,Dual
0086A106,2040,Support Entity,S20400199,Dual
0086A106,2200,Support Entity,S22000102,
0086A106,2200,Support Entity,S22000103,SU-22061-263E12
0086A108,2070,Entity,E20700199,DB-700
0086A108,2070,Entity,E20700199,DB-700
0086A108,2070,Entity,E20700199,DB-700
0086A108,2130,Entity,E21300199,DB-700
0086A108,2200,Entity (KNS),E22000298,Ultra
0086A108,2250,Entity,E22500199,E&R
0086A108,2070,Lot Size,O20700198,1600
0086A108,2010,Entity Code,R20100698,O
0086A108,2051,PTN No,R20510198,15
0086A108,2140,PTN no,R21400198,11
0086A108,2140,PTN no,R21400198,11
0086A108,2150,PTN no,R21500198,05
0086A108,2250,PTN no,R22500198,15
0086A108,2330,PTN no,R23300398,01
0086A108,2040,Support Entity,S20400102,
0086A108,2040,Support Entity,S20400102,
0086A108,2200,Support Entity,S22000102,
0086A108,2200,Support Entity,S22000103,SU-22061-263E12
0086A115,2070,Entity,E20700199,DB-700
0086A115,2070,Entity,E20700199,DB-700
0086A115,2070,Entity,E20700199,DB-700
0086A115,2130,Entity,E21300199,DB-700
0086A115,2150,Entity,E21500199,MARCH_FAST
0086A115,2200,Entity (KNS),E22000298,Ultra; Iconn
0086A115,2250,Entity,E22500199,E&R
0086A115,2070,Lot Size,O20700198,1600
0086A115,2010,Entity Code,R20100698,O
0086A115,2051,PTN No,R20510198,15
0086A115,2140,PTN no,R21400198,11
0086A115,2140,PTN no,R21400198,11
0086A115,2150,PTN no,R21500198,05
0086A115,2250,PTN no,R22500198,15
0086A115,2330,PTN no,R23300398,01
0086A115,2040,Support Entity,S20400102,
0086A115,2040,Support Entity,S20400102,
0086A115,2200,Support Entity,S22000102,
0086A115,2200,Support Entity,S22000103,SU-22061-263E12
0086A116,2070,Entity,E20700199,DB-700
0086A116,2070,Entity,E20700199,DB-700
0086A116,2070,Entity,E20700199,DB-700
0086A116,2130,Entity,E21300199,DB-700
0086A116,2150,Entity,E21500199,MARCH_FAST
0086A116,2200,Entity (KNS),E22000298,Ultra; Iconn
0086A116,2250,Entity,E22500199,E&R
0086A116,2070,Lot Size,O20700198,1600
0086A116,2010,Entity Code,R20100698,O
0086A116,2051,PTN No,R20510198,15
0086A116,2140,PTN no,R21400198,11
0086A116,2140,PTN no,R21400198,11
0086A116,2150,PTN no,R21500198,05
0086A116,2250,PTN no,R22500198,15
