ENTITY,MODEL,STATUS,LOT#,OPER,PRODUCT,BOND ID,OUTPLAN,IN TIME,CUST,PIN_PKG,WIP,PM,Lot Part Id,Lot Urgent Code,Last Wip Lot,Last Pin Package,Last Cust,Last bd id,Last Part ID,G.UPH,wip_outplan_time,SETTING OPER
BB450,UTC1000S,WAIT-REPAIR,,,,AYZ096EI1002A,,22-04-01 19:31,,,,04/08/2022 MP,,,R12YZAB11,FBGA-96UEI,ZJP,AYZ096EI1002A,1091A07T21,207.4091,,2200
BB451,UTC1000S,IDLE,,,,AMS096EC3001B,,22-04-01 05:49,,,,04/09/2022 SP,,,R14MSAE01,FBGA-96UEC,MTI,AMS096EC3001B,1091A06T21,240.3634,,2200
BB452,UTC1000S,RUNNING,R14AWAQ01,2200,064MRAW029,AAW064MR1009A,22-04-02 12:09,22-04-02 00:06,MXIC,MBGA64J4U,3919,04/10/2022 SP,,,R13ABFH02,FBGA96UEL(2),WINBOND,AAB096EL1012A,1091A06T21,325.1959,22-04-02 12:09,2200
BB453,UTC1000S,IDLE,,,,AAB096EF3001A,,22-03-31 11:18,,,,04/11/2022 SP,,,R14ABAD02,FBGA96UEF3-2,WINBOND,AAB096EF3001A,1091A07T21,224.1817,,2200
BB454,UTC1000S,RUNNING,R14MSBJ02,2200,096ECMS003,AMS096EC1002A,22-04-02 12:31,22-04-01 16:39,MTI,FBGA-96UEC,5600,04/12/2022 SP,,,R13MSKD04,FBGA-96UEC,MTI,AMS096EC1002A,1091A06T41,281.9699,22-04-02 12:31,2200
BB455,UTC1000S,RUNNING,R14MSCD06,2200,096ECMS003,AMS096EC1002A,22-04-02 22:18,22-04-02 02:35,MTI,FBGA-96UEC,5560,04/13/2022 SP,1091A06T41,,R14MSBK08,FBGA-96UEC,MTI,AMS096EC1002A,1091A06T41,281.9699,22-04-02 22:18,2200
BB456,UTC1000S,RUNNING,R14ABB502,2200,024MAAB053,AAB024MA6020A,22-04-02 10:18,22-04-02 05:34,WINBOND,MBGA24D6U,6160,04/14/2022 SP,1091A07T21,,R13MSCM07,FBGA-78UEN,MTI,AMS078EN1006A,1091A06T21,1298.6496,22-04-02 10:18,2200
BB457,UTC1000S,RUNNING,R14MSCK04,2200,096ECMS010,AMS096EC3001B,22-04-02 08:45,22-04-01 09:36,MTI,FBGA-96UEC,5564,04/15/2022 SP,1091A06T21,,R14MSAE04,FBGA-96UEC,MTI,AMS096EC3001B,1091A06T21,240.3634,22-04-02 08:45,2200
BB458,UTC1000S,RUNNING,R14MSBK07,2200,096ECMS003,AMS096EC1002A,22-04-02 12:24,22-04-01 16:33,MTI,FBGA-96UEC,5598,04/16/2022 SP,1091A06T41,,R14MSC904,FBGA-96UEC,MTI,AMS096EC1002A,1091A06T41,281.9699,22-04-02 12:24,2200
BB459,UTC1000S,RUNNING,R14MSCD03,2200,096ECMS003,AMS096EC1002A,22-04-02 22:25,22-04-02 02:34,MTI,FBGA-96UEC,5600,04/17/2022 SP,1091A06T41,,R14MSC708,FBGA-96UEC,MTI,AMS096EC1002A,1091A06T41,281.9699,22-04-02 22:25,2200
BB460,UTC1000S,IDLE,,,,ABU078EA1001A,,22-04-01 01:53,,,,04/18/2022 SP,,,R13BUFV03,FBGA-78LEA,ICSI,ABU078EA1001A,1091A07C21,300.7119,,2200
BB461,UTC1000S,IDLE,,,,AAB096EF3001A,,22-03-31 20:39,,,,04/19/2022 MP,,,R14ABAD05,FBGA96UEF3-2,WINBOND,AAB096EF3001A,1091A07T21,224.1817,,2200
BB462,UTC1000S,RUNNING,R13BUEU01,2200,048TGBU008,ABU048TG1002A,22-04-02 13:38,22-04-01 18:56,ICSI,TSOP1-48/48,2560,04/20/2022 MP,1091A10C41,,R13BUET04,TSOP1-48/48,ICSI,ABU048TG1002A,1091A10C41,136.9061,22-04-02 13:38,2200
BB463,UTC1000S,RUNNING,R14MSCY03,2200,096ECMS003,AMS096EC1002A,22-04-02 15:52,22-04-02 00:12,MTI,FBGA-96UEC,4414,04/21/2022 MP,1091A06T41,,R13MSK503,FBGA-96UEC,MTI,AMS096EC1002A,1091A06T41,281.9699,22-04-02 15:52,2200
BB465,UTC1000S,RUNNING,R14AWAQ02,2200,064MRAW029,AAW064MR1009A,22-04-02 10:18,22-04-02 00:09,MXIC,MBGA64J4U,3296,04/22/2022 MP,,,R13ABEU02,FBGA96UEL(2),WINBOND,AAB096EL1012A,1091A06T21,325.1959,22-04-02 10:18,2200
BB466,UTC1000S,RUNNING,R14MSCI06,2200,096ECMS010,AMS096EC3001B,22-04-03 06:13,22-04-02 06:56,MTI,FBGA-96UEC,5600,04/23/2022 MP,1091A06T21,,R14MSCK08,FBGA-96UEC,MTI,AMS096EC3001B,1091A06T21,240.3634,22-04-03 06:13,2200
BB467,UTC1000S,RUNNING,R14ABDH01,2200,096ELAB016,AAB096EL1003A,22-04-02 17:06,22-04-01 16:31,WINBOND,FBGA96UEL(2),5974,04/24/2022 MP,1091A07T21,4,R13ABK506,FBGA96UEL(2),WINBOND,AAB096EL1003A,1091A07T21,243.0216,22-04-02 17:06,2200
