bom_id,ver,reg_date,item,oper,part_id,qty,tole,reason,supp,remark,
	YU020611  ,	 B,	2020/12/11 上午 12:00:00,	1,	2070,	1071F76004               ,	0.000,	14.000,	,	          ,	                                        ,
	YU020611  ,	 B,	2020/12/11 上午 12:00:00,	2,	2200,	1091A08T41               ,	0.000,	0.150,	20        ,	          ,	0.8 AU                                  ,
	YU020611  ,	 B,	2020/12/11 上午 12:00:00,	3,	2300,	108192HF36               ,	0.000,	4.000,	,	          ,	PJ指示用92HF;1230BALLSN0000A 16.52      ,
	YU020611  ,	 B,	2020/12/11 上午 12:00:00,	4,	2070,	120100185B               ,	0.000,	3.400,	0.152     ,	          ,	                                        ,
	YU020611  ,	 B,	2020/12/11 上午 12:00:00,	5,	3720,	1011CA176A               ,	0.014,	0.800,	,	          ,	,
	DN012025  ,	 B,	2019/4/18 上午 12:00:00,	1,	2070,	121100034A               ,	1000.000,	0.900,	0.200     ,	          ,	,
	DN012025  ,	 B,	2019/4/18 上午 12:00:00,	2,	2070,	1071F350L2               ,	0.042,	14.000,	          ,	          ,	,
	DN012025  ,	 B,	2019/4/18 上午 12:00:00,	3,	2200,	1091A07C41               ,	10.980,	0.150,	13        ,	          ,	0.7 mil Au                              ,
	DN012025  ,	 B,	2019/4/18 上午 12:00:00,	4,	2300,	10819740Z2               ,	0.009,	4.000,	          ,	          ,	靜電袋回貨                              ,
	2J028035  ,	 A,	2021/11/17 上午 12:00:00,	1,	2300,	1081A381C1               ,	0.203,	4.000,	          ,	          ,	,
	IA000090  ,	 A,	,	1,	3720,	1011CA235A               ,	0.008,	0.800,	,	          ,	                                        ,
	IA000064  ,	 A,	2018/5/29 上午 12:00:00,	1,	3720,	1011CA273A               ,	0.008,	0.800,	,	          ,	                                        ,
	6A008191  ,	 A,	2021/2/26 上午 12:00:00,	1,	2052,	1221C20040               ,	6000.000,	10.000,	          ,	          ,	,
	6A008191  ,	 A,	2021/2/26 上午 12:00:00,	2,	2070,	121101916A               ,	1000.000,	0.900,	0.170     ,	          ,	,
	6A008191  ,	 A,	2021/2/26 上午 12:00:00,	3,	2434,	1011TR727A               ,	9.167,	0.600,	          ,	          ,	,
	6A008191  ,	 A,	2021/2/26 上午 12:00:00,	4,	2070,	1071F350L1               ,	0.040,	14.000,	          ,	          ,	,
	6A008191  ,	 A,	2021/2/26 上午 12:00:00,	5,	2130,	1071F76001               ,	1.008,	14.000,	          ,	          ,	2/25 TIM改DAF                           ,
	6A008191  ,	 A,	2021/2/26 上午 12:00:00,	6,	2200,	1091A06C41               ,	78.844,	0.150,	96        ,	          ,	,
	6A008191  ,	 A,	2021/2/26 上午 12:00:00,	7,	2300,	1081E770A1               ,	0.297,	4.000,	          ,	          ,	                                        ,
	6A008191  ,	 A,	2021/2/26 上午 12:00:00,	8,	2052,	1101T70525               ,	8.680,	5.000,	          ,	          ,	,
	6A008191  ,	 A,	2021/2/26 上午 12:00:00,	9,	2052,	SUBMATSNV296             ,	1000.000,	0.800,	,	          ,	ANV0086A1069A                           ,
	6A008191  ,	 A,	2021/2/26 上午 12:00:00,	10,	2070,	SUBMATWNV419             ,	1000.000,	0.800,	,	          ,	Controlle-   AM2703ENLT): 厚度200 um    ,
	6A008191  ,	 A,	2021/2/26 上午 12:00:00,	11,	2130,	SUBMATWNV207             ,	1000.000,	0.800,	,	          ,	Flash-BICS4 256Gb:SDP-1層DIE;厚度175um  ,
	X2132375  ,	 A,	2021/7/19 上午 12:00:00,	1,	2070,	121102074A               ,	1000.000,	0.900,	0.210     ,	          ,	OSP SBT                                 ,
	X2132375  ,	 A,	2021/7/19 上午 12:00:00,	2,	2430,	1011TR726A               ,	9.821,	0.600,	          ,	          ,	,
	X2132375  ,	 A,	2021/7/19 上午 12:00:00,	4,	2200,	1091A07C41               ,	96.904,	0.150,	96        ,	          ,	0.7mil Au                               ,
	X2132375  ,	 A,	2021/7/19 上午 12:00:00,	5,	2300,	1081760LB7               ,	0.510,	4.000,	          ,	          ,	,
	X2132375  ,	 A,	2021/7/19 上午 12:00:00,	6,	2410,	1101L70542               ,	132.000,	3.000,	          ,	          ,	,
