wlth_lot_number,wlth_equipment_id,START,END
R05ASE306,BB907,1644276600,1644284400
R05ASE513,BB907,1644384957,1644385077
R05ABHQ05,BB908,1644266855,1644266855
R06ABDC01,BB908,1644410127,1644410247
R03GAA311,BB909,1644276600,1644282523
R06ABBY03,BB909,1644393066,1644393186
R05ABHS01,BB910,1644270104,1644270104
R05ASE418,BB911,1644267864,1644267864
R05ASE501,BB911,1644342020,1644363000
R05ASDF17,BB912,1644267061,1644267061
R05ASE506,BB912,1644337520,1644363000
R05ASE414,BB913,1644276600,1644306080
R05ASEX09,BB913,1644414975,1644415095
R05ASAQ11,BB914,1644258279,1644258279
R05ASAS06,BB914,1644400214,1644400334
R05ASAQ03,BB915,1644276600,1644341255
R05ASAR04,BB915,1644341394,1644363000
R05BWDS17,BB916,1644385445,1644385565
R06ABAU01,BB916,1644250277,1644250277
R05BWDS11,BB917,1644383232,1644383352
R06ABAU02,BB917,1644255326,1644255326
R05ASEP09,BB918,1644276600,1644336048
R05ASET04,BB918,1644411373,1644411493
R05ASE408,BB919,1644276600,1644292098
R05ASES10,BB919,1644356738,1644363000
R03GAA308,BB920,1644276600,1644279616
R06ABBW10,BB920,1644404487,1644404607
R05ASAQ08,BB921,1644276600,1644322230
R05ASAR07,BB921,1644322404,1644363000
R05BWDS01,BB923,1644257569,1644257569
R05BWDS04,BB923,1644416903,1644417023
R05ASAP05,BB924,1644264377,1644264377
R05ASAS01,BB924,1644411065,1644411185
R05ABF120,BB925,1644249914,1644249914
R05ABJM10,BB925,1644403675,1644403795
R05ASE516,BB926,1644352541,1644363000
R05ASEP04,BB926,1644276600,1644288790
R06AWAM03,BB929,1644276600,1644294430
R06AWAM08,BB929,1644400053,1644400173
R06ABDL07,BB930,1644420315,1644420435
R06MSBZ08,BB930,1644252027,1644252027
R05ASE303,BB931,1644276600,1644289883
R05ASE518,BB931,1644377171,1644377291
R06ABD105,BB932,1644391977,1644392097
R06YZA405,BB933,1644388329,1644388449
R05ASE423,BB938,1644266589,1644266589
R05ASET09,BB938,1644409654,1644409774
R04HQA103,BBA01,1644416238,1644416358
R06MSDP03,BBA01,1644254512,1644254512
R05HQD701,BBA02,1644276600,1644278175
R06BWC406,BBA02,1644385046,1644385166
R06BWA619,BBA03,1644253875,1644253875
R06BWC402,BBA03,1644418847,1644418967
R06MSG305,BBA04,1644261999,1644261999
R05HQCG01,BBA05,1644406097,1644406217
R06MSG104,BBA05,1644276600,1644316135
R06BWC413,BBA06,1644405114,1644405234
R06MSG604,BBA06,1644276600,1644333346
R05HQCG02,BBA07,1644403176,1644403296
R05HQD601,BBA07,1644273917,1644273917
R06BWC405,BBA08,1644410339,1644410459
R06BWA615,BBA09,1644276600,1644285373
R06BWC414,BBA09,1644403570,1644403690
R05LWAY02,BBA10,1644276600,1644300376
R05LWB101,BBA10,1644360893,1644363000
R05NIND01,BBA11,1644276600,1644311010
R05NINQ02,BBA11,1644402712,1644402832
R04HQA302,BBA12,1644250485,1644250485
R05HQCL03,BBA12,1644413342,1644413462
R05NINA01,BBA13,1644276600,1644300452
R05NINN01,BBA13,1644389741,1644389861
R06BWC412,BBA14,1644416038,1644416158
R06MSE801,BBA14,1644254170,1644254170
R05NIN702,BBA15,1644272539,1644272539
R05NINL02,BBA15,1644382409,1644382529
R04HQA304,BBA16,1644263079,1644263079
R05HQCL01,BBA16,1644419254,1644419374
R06MSEY06,BBA17,1644276600,1644313631
R06MSH105,BBA17,1644388377,1644388497
R04ASC801,BBA18,1644276600,1644350673
R05NINA02,BBA19,1644276600,1644280228
R05NINP02,BBA19,1644394899,1644395019
R05LWAY03,BBA20,1644261917,1644261917
R05LWAY01,BBA22,1644276600,1644298211
R06BWC404,BBA22,1644406592,1644406712
R06BWC420,BBA23,1644404708,1644404828
R06MSG505,BBA23,1644251269,1644251269
R06BWC421,BBA24,1644377654,1644377774
R06MSC109,BBA24,1644276600,1644284248
R05NIND03,BBA25,1644259992,1644259992
R05NINM02,BBA25,1644366266,1644366386
R06BWC425,BBA26,1644417410,1644417530
R06MSEG08,BBA27,1644276600,1644305146
R07MSB902,BBA27,1644418569,1644418689
R06MSG105,BBA28,1644276600,1644330073
R06BWC416,BBA29,1644420677,1644420797
R06MSG106,BBA29,1644276600,1644281712
R02HQAG04,BBA30,1644412805,1644412925
R05HQD702,BBA30,1644276600,1644291006
R05NIND02,BBA31,1644276600,1644329805
R05NINM01,BBA31,1644356433,1644363000
R06MSF701,BBB01,1644276600,1644342440
R06MSFP03,BBB01,1644345114,1644363000
R05YUA108,BBB02,1644262147,1644262147
R06YZAB12,BBB02,1644411779,1644411899
R03YZAI13,BBB03,1644276600,1644302395
R03YZAJ08,BBB03,1644302729,1644363000
R06ABDT04,BBB04,1644308053,1644363000
R05VED101,BBB05,1644403053,1644403173
R06MSFP01,BBB06,1644276600,1644331940
R06MSFT04,BBB06,1644332033,1644363000
R05AWBQ07,BBB07,1644399960,1644400080
R05AWCH03,BBB08,1644276600,1644280093
R06AWBF01,BBB08,1644386729,1644386849
R06MSJE06,BBB09,1644410507,1644410627
R04ABE910,BBB10,1644276600,1644319450
R07AWA301,BBB10,1644378873,1644378993
R05SSB425,BBB11,1644276600,1644380716
R05SSB506,BBB11,1644380831,1644380951
R04ABE912,BBB12,1644252722,1644252722
R06ABD804,BBB12,1644355739,1644363000
R06AWAZ01,BBB13,1644272552,1644272552
R06AWB403,BBB13,1644419582,1644419702
R06ABD803,BBB15,1644350207,1644363000
P46UKT104,BBB16,1644276600,1644383274
R06YZAB18,BBB16,1644417865,1644417985
R05CDAM03,BBB18,1644276600,1644350632
R05CDAN02,BBB18,1644350943,1644363000
R06AWAV02,BBB19,1644252219,1644252219
R06AWB401,BBB19,1644420126,1644420246
R04VGDL01,BBB20,1644249795,1644249795
R07AWA302,BBB20,1644417963,1644418083
R06AWBG04,BBB21,1644402240,1644402360
R06MSEU03,BBB22,1644276600,1644332035
R05SSB324,BBB23,1644276600,1644280022
R05SSB536,BBB23,1644412940,1644413060
R06ABD201,BBB24,1644405204,1644405324
R06ABD805,BBB25,1644372066,1644372186
R05SSB301,BBB26,1644258533,1644258533
R06YZAB17,BBB26,1644410232,1644410352
R06ABD202,BBB27,1644397938,1644398058
R04ABE911,BBB28,1644250078,1644250078
R06ABD205,BBB28,1644417416,1644417536
R03YZAB01,BBB30,1644276600,1644288726
R03YZAI10,BBB30,1644288873,1644363000
R06MSFJ03,BBB31,1644276600,1644323258
R06MSGA02,BBB31,1644323394,1644363000
R06MSC203,BBB32,1644276600,1644278540
R07MSAI06,BBB32,1644404916,1644405036
R06ABDU03,BBB33,1644370903,1644371023
R03YZAI06,BBB34,1644260295,1644260295
R03YZAJ14,BBB34,1644421727,1644421847
R06ABDU01,BBB35,1644345561,1644363000
R03AWD704,BBB36,1644393903,1644394023
R06AWAZ02,BBB36,1644252516,1644252516
R06MSE106,BBC01,1644276600,1644285614
R06MSHA01,BBC01,1644358362,1644363000
R06MSF306,BBC02,1644276600,1644303315
R06MSHA05,BBC02,1644387109,1644387229
R06MSEW03,BBC03,1644276600,1644316436
R06MSH901,BBC03,1644390779,1644390899
R06MSG506,BBC04,1644268058,1644268058
R06MSE706,BBC05,1644257899,1644257899
R06MSE707,BBC06,1644270855,1644270855
R06MSH804,BBC06,1644372266,1644372386
R05MSKM01,BBC07,1644253918,1644253918
R06MSF903,BBC07,1644351441,1644363000
R06MSBI03,BBC08,1644276600,1644303575
R05MSKK03,BBC09,1644276600,1644299393
R06MSEK03,BBC09,1644394080,1644394200
R05MSKJ02,BBC10,1644271878,1644271878
R06MSBK02,BBC10,1644334475,1644363000
R06MSEW05,BBC11,1644276600,1644322729
R06MSF204,BBC12,1644276600,1644316706
R06MSG307,BBC13,1644276600,1644297477
R06MSH505,BBC13,1644368925,1644369045
R06MSF206,BBC14,1644363762,1644363882
R06MSG503,BBC14,1644276600,1644283255
R05MSKI04,BBC15,1644250369,1644250369
R06MSFE02,BBC15,1644326076,1644363000
R07MSAM09,BBC16,1644389144,1644389264
R07MSAH04,BBC17,1644380800,1644380920
R06MSE404,BBC18,1644267837,1644267837
R07MSAB05,BBC19,1644389249,1644389369
R07MSAG08,BBC20,1644380522,1644380642
R07MSAB03,BBC21,1644381040,1644381160
R07MSAB04,BBC22,1644380912,1644381032
R07MSAH03,BBC23,1644380682,1644380802
R07MSAH08,BBC24,1644400442,1644400562
R07MSAG07,BBC25,1644380389,1644380509
R06MSAJ04,BBC27,1644276600,1644304057
R07MSAK02,BBC28,1644392847,1644392967
R07MSAL06,BBC29,1644388885,1644389005
R05MSKM03,BBC30,1644276600,1644306416
R07MSAH07,BBC31,1644399484,1644399604
R07MSAH05,BBC32,1644389991,1644390111
R07MSAH06,BBC33,1644390347,1644390467
R07MSAL07,BBC34,1644390759,1644390879
R07MSAK01,BBC35,1644393126,1644393246
R06MSAU01,BBC36,1644325586,1644363000
R06MSB803,BBC36,1644276600,1644325394
R06MSBB02,BBC37,1644276600,1644317992
R05MSKU02,BBC38,1644276600,1644348112
R06MSF901,BBC38,1644348179,1644363000
R07MSAK07,BBC39,1644399365,1644399485
R05MSKT01,BBC40,1644269588,1644269588
R06MSEK04,BBC40,1644361677,1644363000
R07MSAL08,BBC41,1644405678,1644405798
R07MSAR02,BBC42,1644409588,1644409708
R07MSAC04,BBC43,1644374168,1644374288
R07MSAK08,BBC44,1644409742,1644409862
R07MSAK03,BBC45,1644409917,1644410037
R05MSKU03,BBC46,1644276600,1644326788
R06MSFE01,BBC46,1644326936,1644363000
R07MSAC06,BBC47,1644405489,1644405609
R07MSAK04,BBC48,1644410310,1644410430
R06MSBF04,BBC49,1644353561,1644363000
R06MSBK03,BBC49,1644276600,1644290887
R07MSAQ09,BBC50,1644410319,1644410439
R07MSAN07,BBC51,1644410640,1644410760
R07MSAR01,BBC52,1644409418,1644409538
R06MSH201,BBC53,1644360352,1644363000
R06MSH501,BBC53,1644276600,1644285968
R06MSEW02,BBC54,1644276600,1644306734
R06MSH206,BBC54,1644381559,1644381679
R06MSER06,BBC55,1644269892,1644269892
R07MSAC07,BBC56,1644405372,1644405492
R07MSAR06,BBC57,1644410127,1644410247
R07MSAI04,BBC58,1644414157,1644414277
R06MSE403,BBC59,1644276600,1644291159
R06MSH704,BBC59,1644369165,1644369285
R06MSE703,BBC60,1644276600,1644284313
R06MSH203,BBC60,1644359064,1644363000
R06MSJ807,BBD01,1644276600,1644301410
