route,wlot_lot_number,wlot_crt_dat_al_1,pin_package,wlot_prod,wlot_qty_1,wlot_qty_2,wlot_oper,wlot_hold,wlot_mvin_perfmd,bd_id,urgent_code,sub_lot,wb_location,automotive,package_id,CR,super_hot_run_code,last_WB_entity,wip_outplan_time
BGA184,R08GAA101,FIDELIX,VFBGA90B4L,090NCGA037,4055,0,2225,N,N,AGA090NC4003A,,10,,,AS4C16M32MSA-6BIN,74.61,N,BB465,
BGA184,R08GAA105,FIDELIX,VFBGA90B4L,090NCGA037,4157,0,2225,N,N,AGA090NC4003A,,10,,,AS4C16M32MSA-6BIN,74.61,N,BB556,
BGA184,R08GAA109,FIDELIX,VFBGA90B4L,090NCGA037,4094,0,2225,N,N,AGA090NC4003A,,10,,,AS4C16M32MSA-6BIN,74.61,N,BB465,
BGA185,R08YZA405,ZJP,FBGA-96UEI,096EIYZ002,2940,0,2090,N,N,AYZ096EI1001A,6,9,BB503-1,,P3T4GF40BBF-Z{YZ},73.26,N,DA,
BGA185,R03YZA702,ZJP,FBGA-96UEI,096EIYZ001,2960,0,2200,Y,Y,AYZ096EI1002A,4,17,,,P3T2GF40CBF-Z{YZ},75.82,N,DA,
BGA185,R03YZA706,ZJP,FBGA-96UEI,096EIYZ001,2959,0,2200,Y,Y,AYZ096EI1002A,4,17,,,P3T2GF40CBF-Z{YZ},75.82,N,DA,
BGA185,R03YZA711,ZJP,FBGA-96UEI,096EIYZ001,2957,0,2200,Y,Y,AYZ096EI1002A,4,17,,,P3T2GF40CBF-Z{YZ},75.82,N,DA,
BGA185,R03YZA715,ZJP,FBGA-96UEI,096EIYZ001,2980,0,2200,Y,Y,AYZ096EI1002A,4,17,,,P3T2GF40CBF-Z{YZ},75.82,N,DA,
BGA185,R03YZA904,ZJP,FBGA-96UEI,096EIYZ001,2908,0,2200,Y,Y,AYZ096EI1002A,4,8,,,P3T2GF40CBF-Z{YZ},76.78,N,DA,
BGA185,R03YZA908,ZJP,FBGA-96UEI,096EIYZ001,2887,0,2200,Y,Y,AYZ096EI1002A,4,8,,,P3T2GF40CBF-Z{YZ},76.78,N,DA,
BGA185,R03YZAA04,ZJP,FBGA-96UEI,096EIYZ001,2920,0,2200,Y,Y,AYZ096EI1002A,,9,,,P3T2GF40CBF-Z{YZ},76.78,N,DA,
BGA185,R03YZAA08,ZJP,FBGA-96UEI,096EIYZ001,2841,0,2200,Y,Y,AYZ096EI1002A,,9,,,P3T2GF40CBF-Z{YZ},76.78,N,DA,
BGA185,R03YZAI02,ZJP,FBGA-96UEI,096EIYZ001,2980,0,2200,Y,Y,AYZ096EI1002A,,17,,,P3T2GF40CBF-Z{YZ},76.14,N,DA,
BGA185,R03YZAI06,ZJP,FBGA-96UEI,096EIYZ001,2990,0,2200,Y,Y,AYZ096EI1002A,,17,,,P3T2GF40CBF-Z{YZ},76.14,N,DA,
BGA185,R03YZAI10,ZJP,FBGA-96UEI,096EIYZ001,2953,0,2200,Y,Y,AYZ096EI1002A,,17,,,P3T2GF40CBF-Z{YZ},76.14,N,DA,
BGA185,R03YZAI14,ZJP,FBGA-96UEI,096EIYZ001,2860,0,2200,Y,Y,AYZ096EI1002A,,17,,,P3T2GF40CBF-Z{YZ},76.14,N,DA,
BGA185,R03YZAJ01,ZJP,FBGA-96UEI,096EIYZ001,2920,0,2200,Y,Y,AYZ096EI1002A,,17,,,P3T2GF40CBF-Z{YZ},75.98,N,DA,
BGA185,R03YZAJ09,ZJP,FBGA-96UEI,096EIYZ001,2960,0,2200,Y,Y,AYZ096EI1002A,,17,,,P3T2GF40CBF-Z{YZ},75.98,N,DA,
BGA185,R03YZAJ13,ZJP,FBGA-96UEI,096EIYZ001,2940,0,2200,Y,Y,AYZ096EI1002A,,17,,,P3T2GF40CBF-Z{YZ},75.98,N,DA,
BGA185,R08YZA406,ZJP,FBGA-96UEI,096EIYZ002,2940,0,2200,N,Y,AYZ096EI1001A,6,9,,,P3T4GF40BBF-Z{YZ},73.26,N,DA,2022-03-02 05:53:35
BGA185,R03YZA703,ZJP,FBGA-96UEI,096EIYZ001,2971,0,2200,Y,Y,AYZ096EI1002A,4,17,,,P3T2GF40CBF-Z{YZ},75.82,N,DA,
BGA185,R03YZA712,ZJP,FBGA-96UEI,096EIYZ001,2940,0,2200,Y,Y,AYZ096EI1002A,4,17,,,P3T2GF40CBF-Z{YZ},75.82,N,DA,
BGA185,R03YZA716,ZJP,FBGA-96UEI,096EIYZ001,2980,0,2200,Y,Y,AYZ096EI1002A,4,17,,,P3T2GF40CBF-Z{YZ},75.82,N,DA,
BGA185,R03YZA905,ZJP,FBGA-96UEI,096EIYZ001,2900,0,2200,Y,Y,AYZ096EI1002A,4,8,,,P3T2GF40CBF-Z{YZ},76.78,N,DA,
BGA185,R03YZAA01,ZJP,FBGA-96UEI,096EIYZ001,2960,0,2200,Y,Y,AYZ096EI1002A,,9,,,P3T2GF40CBF-Z{YZ},76.78,N,DA,
BGA185,R03YZAA05,ZJP,FBGA-96UEI,096EIYZ001,2899,0,2200,Y,Y,AYZ096EI1002A,,9,,,P3T2GF40CBF-Z{YZ},76.78,N,DA,
BGA185,R03YZAA09,ZJP,FBGA-96UEI,096EIYZ001,1480,0,2200,Y,Y,AYZ096EI1002A,,9,,,P3T2GF40CBF-Z{YZ},76.78,N,DA,
BGA185,R03YZAI03,ZJP,FBGA-96UEI,096EIYZ001,2950,0,2200,Y,Y,AYZ096EI1002A,,17,,,P3T2GF40CBF-Z{YZ},76.14,N,DA,
BGA185,R03YZAI07,ZJP,FBGA-96UEI,096EIYZ001,2980,0,2200,Y,Y,AYZ096EI1002A,,17,,,P3T2GF40CBF-Z{YZ},76.14,N,DA,
BGA185,R03YZAI11,ZJP,FBGA-96UEI,096EIYZ001,2960,0,2200,Y,Y,AYZ096EI1002A,,17,,,P3T2GF40CBF-Z{YZ},76.14,N,DA,
BGA185,R03YZAI15,ZJP,FBGA-96UEI,096EIYZ001,2914,0,2200,Y,Y,AYZ096EI1002A,,17,,,P3T2GF40CBF-Z{YZ},76.14,N,DA,
BGA185,R03YZAJ02,ZJP,FBGA-96UEI,096EIYZ001,2920,0,2200,Y,Y,AYZ096EI1002A,,17,,,P3T2GF40CBF-Z{YZ},75.98,N,DA,
BGA185,R03YZAJ10,ZJP,FBGA-96UEI,096EIYZ001,2835,0,2200,Y,Y,AYZ096EI1002A,,17,,,P3T2GF40CBF-Z{YZ},75.98,N,DA,
BGA185,R03YZAJ14,ZJP,FBGA-96UEI,096EIYZ001,2850,0,2200,Y,Y,AYZ096EI1002A,,17,,,P3T2GF40CBF-Z{YZ},75.98,N,DA,
BGA185,R08YZA407,ZJP,FBGA-96UEI,096EIYZ002,2927,0,2200,N,Y,AYZ096EI1001A,6,9,,,P3T4GF40BBF-Z{YZ},73.26,N,DA,2022-03-02 09:53:30
BGA185,R03YZA704,ZJP,FBGA-96UEI,096EIYZ001,2980,0,2200,Y,Y,AYZ096EI1002A,4,17,,,P3T2GF40CBF-Z{YZ},75.82,N,DA,
BGA185,R03YZA708,ZJP,FBGA-96UEI,096EIYZ001,2949,0,2200,Y,Y,AYZ096EI1002A,4,17,,,P3T2GF40CBF-Z{YZ},75.82,N,DA,
BGA185,R03YZA713,ZJP,FBGA-96UEI,096EIYZ001,2918,0,2200,Y,Y,AYZ096EI1002A,4,17,,,P3T2GF40CBF-Z{YZ},75.82,N,DA,
BGA185,R03YZA901,ZJP,FBGA-96UEI,096EIYZ001,2944,0,2200,Y,Y,AYZ096EI1002A,4,8,,,P3T2GF40CBF-Z{YZ},76.78,N,DA,
BGA185,R03YZA906,ZJP,FBGA-96UEI,096EIYZ001,2900,0,2200,Y,Y,AYZ096EI1002A,4,8,,,P3T2GF40CBF-Z{YZ},76.78,N,DA,
