ENTITY,SUM,MODEL,STATUS,LOT#,Pre-Lot,OPER,PRODUCT,PACKAGE ID,BOND ID,WIP,IC Q'ty,IN TIME,OUTPLAN,CUST,PIN_PKG,CLOT,JCODE,UPH,LAMILATION,REMARK1,AREA,PM,SETTING OPER,Lot Part Id,Lot Urgent Code,Last Wip Lot,Last Pin Package,Last Cust,Last bd id,Last Part ID,Unnamed: 31,G.UPH,N.UPH,wip_outplan_time
BB893,0,MAXUM,RUNNING,R09ASAQ01,,2200,096ELAS005,M15F1G1664AC1AG{GVNX2-13x,AAS096EL1001A,2971,53777,22-03-02 03:15,22-03-02 21:20,EliteMT,FBGA-96UEL-3,P28TN.02,,164.3310,,3000M,TB-B6,03/30/2022 MP,2200,1091G08PA1,,R09ASAJ21,FBGA-96UEL-3,EliteMT,AAS096EL1001A,1091G08PA1,,164.331,145.967,22-03-02 21:20
BB894,0,MAXUM,WAIT-SETUP,,,,,,AAS008FG1011A,,,22-03-02 02:22,,,,,CSC,,,3000M,TB-B6,03/31/2022 MP,2200,,,R09YZAG14,TSOP2-66CME,ZJP,AYZ066TS1001A,1091G08PA4,,1156.8699,1027.5897,
BB895,0,MAXUM,RUNNING,R09ASD205,,2200,084UCAS080,M14D5121632AA1AG{GVEX2},AAS084CC2010A,2795,44850,22-03-02 07:00,22-03-02 23:50,EliteMT,FBGA-84UC,P294J.02,,165.9396,,3000M,TB-B6,03/02/2022 MP,2200,,,R09YZAG07,TSOP2-66CME,ZJP,AYZ066TS1001A,1091G08PA4,,165.9396,147.3958,22-03-02 23:50
BB896,0,MAXUM,RUNNING,R09ASAQ11,,2200,096ELAS005,M15F1G1664AC1AG{GVNX2-13x,AAS096EL1001A,2980,53777,22-03-02 03:23,22-03-02 21:32,EliteMT,FBGA-96UEL-3,P28TN.02,,164.3310,,3000M,TB-B6,03/03/2022 MP,2200,1091G08PA1,,R09ASAJ20,FBGA-96UEL-3,EliteMT,AAS096EL1001A,1091G08PA1,,164.331,145.967,22-03-02 21:32
BB897,3000,MAXUM,WAIT-SETUP,R09ASAR10,,2200,096ELAS005,M15F1G1664AC1AG{GVNX2-13x,AAS096EL1001A,2960,40453,22-03-02 07:37,22-03-03 01:37:55,EliteMT,FBGA-96UEL-3,P28TY.01,M,164.3310,,3000M,TB-B6,03/04/2022 MP,2200,,,R09ASAJ19,FBGA-96UEL-3,EliteMT,AAS096EL1001A,1091G08PA1,,164.331,145.967,22-03-03 01:37
BB898,0,MAXUM,WAIT-SETUP,R09ABAM06,,2200,008YQAB072,AAG070900/IG/W25Q512JVEIN,AAB008YQ2022A,2160,19452,22-03-02 07:48,22-03-02 08:12:19,WINBOND,DFN-08YQ2A,61497T900,M,880.4946,,3000M,TB-B6,03/05/2022 MP,2200,1091A07T21,,R09ABAM02,DFN-08YQ2A,WINBOND,AAB008YQ2022A,1091A07T21,,880.4946,782.0993,22-03-02 08:12
BB899,0,MAXUM,RUNNING,R09AWC203,,2200,008YMAW019,6741M-087S10ITN999,AAW008YM2003A,16000,181522,22-03-01 17:57,22-03-02 06:47,MXIC,DFN-08YM2D,8J323100,,1245.6478,,3000M,TB-B6,03/06/2022 MP,2200,1091A07T41,,R09AWC205,DFN-08YM2D,MXIC,AAW008YM2003A,1091A07T41,,1245.6478,1106.4467,22-03-02 06:47
BB900,0,MAXUM,RUNNING,R09ASDD03,,2200,096ELAS043,ZWM15T4G16256AC1PG{GVNF2},AAS096EL1009B,2940,24897,22-03-02 05:41,22-03-03 01:48,EliteMT,FBGA-96UEL,V208X.01,,146.1810,,3000M,TB-B6,03/07/2022 MP,2200,,,R09ASDC02,FBGA-96UEL,EliteMT,AAS096EL1009B,1091G08PA4,,146.181,129.8453,22-03-03 01:48
BB901,0,MAXUM,RUNNING,R07ABMA01,,2200,008YQAB114,AAG061800/IG/W74M25JWZEIQ,AAB008YQ3021A,5600,66196,22-03-01 18:09,22-03-02 05:32,WINBOND,STDFN08YQ3AW,6206M0036,,491.3119,,3000M,TB-B7,03/08/2022 MP,2200,1091A08T21,E,R09ABCF05,DFN-08YM2D,WINBOND,AAB008YM2020A,1091A07T21,,491.3119,436.4078,22-03-02 05:32
BB902,0,MAXUM,RUNNING,R09ASAQ06,,2200,096ELAS005,M15F1G1664AC1AG{GVNX2-13x,AAS096EL1001A,2980,53777,22-03-01 15:49,22-03-02 09:57,EliteMT,FBGA-96UEL-3,P28TN.02,,164.3310,,3000M,TB-B7,03/09/2022 MP,2200,1091G08PA1,,R09ASAK04,FBGA-96UEL-3,EliteMT,AAS096EL1001A,1091G08PA1,,164.331,145.967,22-03-02 09:57
