¦C¼Æ,pin_package,bd_id,product,da_out,da_act,wb_out,wb_act,cure_out,cure_act,
509,	FBGA-60U9(2),	ABU060C91001D       ,	060U9BU001               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
510,	FBGAS-96UEF7,	ABU096EF5001A       ,	096EFBU003               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
511,	FBGA-126UCT ,	ABU126CT2001B       ,	126CTBU001               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
512,	MINIBGA165D2,	ABU165MC3022A       ,	165MCBU103               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
513,	DFN-08Y62D  ,	ABU008Y62011A       ,	008Y6VG008               ,	0.00,	0.00,	283.88,	8.32,	0.00,	0.00,
514,	DFN-08YD2A  ,	ABU008YD2005A       ,	008YDVG012               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
515,	STBGA24D4U  ,	ABU024XJ8004A       ,	024XJVG008               ,	0.00,	0.00,	21.70,	0.00,	0.00,	0.00,
516,	TSOP1-48/48M,	ABU048TP2004A       ,	048TPVG004               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
517,	STBGA153JAV ,	ABU153XT9013A       ,	153XTVG014               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
518,	FCBGA85A3F  ,	AST085UO1001A       ,	085UOST002               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
519,	TSOP1-48AM  ,	AMS048TW1058A       ,	048TWMS068               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
520,	TSOP1-48AM  ,	AMS048TW1072A       ,	048TWMS093               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
521,	TSOP1-48AM  ,	AMS048TW1036A       ,	048TWMS097               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
522,	FBGA-96UEC  ,	AMS096EC1002A       ,	096ECMS003               ,	349.28,	11.10,	476.25,	5.59,	0.00,	33.37,
523,	FBGA-96UEL-2,	AMS096EL2002A       ,	096ELMS001               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
524,	VFBGA132B4U ,	ALW132NY4039A       ,	132NYLW077               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
525,	SSLGA16DOU  ,	AAW016D53019A       ,	016D5AW021               ,	228.20,	2.40,	0.00,	0.00,	0.00,	0.00,
526,	MINIBGA24A3L,	AAW024MA6012A       ,	024MAAW020               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
527,	MINIBGA24A3L,	AAW024MA6015B       ,	024MAAW028               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
528,	MBGA24J3U   ,	AAW024MAA006A       ,	024MAAW083               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
529,	uSD08AQV-C  ,	ANV0086A1065A       ,	0086ANV161               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
530,	STBGA132G4VT,	ANV132X2C034A       ,	132X2NV154               ,	36.90,	4.61,	97.73,	0.00,	0.00,	9.08,
531,	SSBGA132G4U ,	ANV132X2A023A       ,	132X2NV201               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
532,	SSBGA153JAVT,	ANV153XT9074A       ,	153XTNV120               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
533,	STBGA345SBC ,	ANV345XTB026A       ,	345XTNV084               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
534,	STBGA391aLP ,	AXY391KJ3002B       ,	391KJXY002               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
535,	WLCSP       ,	                    ,	000IAVT005               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
