process_id,Oper,master_desc,detail_desc,detail_id,remark,
	000IA192       ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	000IA192       ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	000IA193       ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	999999                                  ,
	000IA193       ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	Y                                       ,
	000IA214       ,	2022,	PTN No                                  ,	                                                  ,	O20220198,	12                                      ,
	000IA214       ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	999999                                  ,
	000IA214       ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	X                                       ,
	000IA218       ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	999999                                  ,
	000IA218       ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	Y                                       ,
	000IA218       ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	000IA218       ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	000IA219       ,	2022,	PTN No                                  ,	                                                  ,	O20220198,	12                                      ,
	000IA219       ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	999999                                  ,
	000IA219       ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	X                                       ,
	000IA219       ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	000IA219       ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	000IA220       ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	999999                                  ,
	000IA220       ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	Y                                       ,
	000IA220       ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	000IA220       ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	000IA232       ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	999999                                  ,
	000IA232       ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	Y                                       ,
	000IA235       ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	999999                                  ,
	000IA235       ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	Y                                       ,
	000IA235       ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	000IA235       ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	000IA236       ,	2022,	PTN No                                  ,	                                                  ,	O20220198,	12                                      ,
	000IA236       ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	999999                                  ,
	000IA236       ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	C                                       ,
	000IA236       ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	000IA236       ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	000IA243       ,	2022,	PTN No                                  ,	                                                  ,	O20220198,	12                                      ,
	000IA243       ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	999999                                  ,
	000IA243       ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	C                                       ,
	000IA243       ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	000IA243       ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	000IA250       ,	2022,	PTN No                                  ,	                                                  ,	O20220198,	12                                      ,
	000IA250       ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	999999                                  ,
	000IA250       ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	X                                       ,
	000IA250       ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	000IA250       ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	000IA251       ,	2022,	PTN No                                  ,	                                                  ,	O20220198,	12                                      ,
	000IA251       ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	999999                                  ,
	000IA251       ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	C                                       ,
	000IA251       ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	000IA251       ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	000IA259       ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	999999                                  ,
	000IA259       ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	Y                                       ,
	000IA278       ,	2022,	PTN No                                  ,	                                                  ,	O20220198,	12                                      ,
	000IA278       ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	999999                                  ,
	000IA278       ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	T                                       ,
	000IA278       ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	000IA278       ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	000IA281       ,	2022,	PTN No                                  ,	                                                  ,	O20220198,	12                                      ,
	000IA281       ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	999999                                  ,
	000IA281       ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	C                                       ,
	000IA281       ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	000IA281       ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	000IA283       ,	2022,	PTN No                                  ,	                                                  ,	O20220198,	12                                      ,
	000IA283       ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	999999                                  ,
	000IA283       ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	B                                       ,
	000IA283       ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	000IA283       ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	000IA298       ,	2022,	PTN No                                  ,	                                                  ,	O20220198,	12                                      ,
	000IA298       ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	999999                                  ,
	000IA298       ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	N                                       ,
	000IA298       ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	000IA298       ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	000IA313       ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	999999                                  ,
	000IA313       ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	Y                                       ,
	000IA317       ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	999999                                  ,
	000IA317       ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	Y                                       ,
	000IA319       ,	2022,	PTN No                                  ,	                                                  ,	O20220198,	12                                      ,
	000IA319       ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	999999                                  ,
	000IA319       ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	X                                       ,
	000IA325       ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	999999                                  ,
	000IA325       ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	Y                                       ,
	000IA325       ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	000IA325       ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
