bom_id,ver,reg_date,item,oper,part_id,qty,tole,reason,supp,remark,
	6A008239  ,	 A,	2021/12/24 上午 12:00:00,	1,	2052,	1221C20040               ,	6000.000,	10.000,	          ,	          ,	,
	6A008239  ,	 A,	2021/12/24 上午 12:00:00,	2,	2070,	121101916A               ,	1000.000,	0.900,	0.170     ,	          ,	W0086111510                             ,
	6A008239  ,	 A,	2021/12/24 上午 12:00:00,	3,	2434,	1011TR727A               ,	9.167,	0.600,	          ,	          ,	,
	6A008239  ,	 A,	2021/12/24 上午 12:00:00,	4,	2070,	1071F350L1               ,	0.000,	14.000,	          ,	          ,	Die1_AM2703ENLT;12 200um;chip on tray   ,
	6A008239  ,	 A,	2021/12/24 上午 12:00:00,	5,	2130,	1071F76004               ,	1.048,	14.000,	          ,	          ,	Die2_SPACER;12 200um                    ,
	6A008239  ,	 A,	2021/12/24 上午 12:00:00,	6,	3130,	1071F76004               ,	0.000,	14.000,	          ,	          ,	Die3_Bics4;12 60um;chip on tray         ,
	6A008239  ,	 A,	2021/12/24 上午 12:00:00,	7,	2200,	1091A06C41               ,	86.804,	0.150,	96        ,	          ,	0.6mil Au                               ,
	6A008239  ,	 A,	2021/12/24 上午 12:00:00,	8,	2300,	1081E770A1               ,	0.297,	4.000,	          ,	          ,	,
	6A008239  ,	 A,	2021/12/24 上午 12:00:00,	9,	2052,	1101T70525               ,	8.680,	3.000,	          ,	          ,	,
	6A008239  ,	 A,	2021/12/24 上午 12:00:00,	10,	2070,	SUBMATWNV419             ,	1000.000,	0.800,	,	          ,	Die1_26-2000000003;12 200um;F350L1      ,
	6A008239  ,	 A,	2021/12/24 上午 12:00:00,	11,	2130,	SUBMATWNV519             ,	1000.000,	0.800,	,	          ,	Die2_12402030DUMMY;12 200um;F76004      ,
	6A008239  ,	 A,	2021/12/24 上午 12:00:00,	12,	3130,	SUBMATWNV520             ,	1000.000,	0.800,	,	          ,	Die3_30-P0LA01D384;12 60um;F76004       ,
	6A008239  ,	 A,	2021/12/24 上午 12:00:00,	13,	2052,	SUBMATSNV388             ,	1000.000,	0.800,	SMT       ,	          ,	ANV0086A1078A                           ,
	6A008240  ,	 A,	2022/1/4 上午 12:00:00,	1,	2070,	1281S0050A               ,	1000.000,	0.900,	0.170     ,	          ,	W01916A                                 ,
	6A008240  ,	 A,	2022/1/4 上午 12:00:00,	2,	2434,	1011TR727A               ,	9.167,	0.600,	          ,	          ,	,
	6A008240  ,	 A,	2022/1/4 上午 12:00:00,	3,	2070,	1071F350L1               ,	0.040,	14.000,	          ,	          ,	Die1_AM2703ENLT;12 200um;               ,
	6A008240  ,	 A,	2022/1/4 上午 12:00:00,	4,	2130,	1071F76004               ,	1.048,	14.000,	          ,	          ,	Die2_Spacer;12 200um                    ,
	6A008240  ,	 A,	2022/1/4 上午 12:00:00,	5,	3130,	1071F76004               ,	1.048,	14.000,	          ,	          ,	Die3_Bics4 256G;12 60um                 ,
	6A008240  ,	 A,	2022/1/4 上午 12:00:00,	6,	2200,	1091A06C41               ,	86.804,	0.150,	96        ,	          ,	0.6mil Au                               ,
	6A008240  ,	 A,	2022/1/4 上午 12:00:00,	7,	2300,	1081E770A1               ,	0.297,	4.000,	          ,	          ,	,
	6A008240  ,	 A,	2022/1/4 上午 12:00:00,	8,	2070,	SUBMATWNV419             ,	1000.000,	0.800,	,	          ,	Die1_26-2000000003;12 200um;F350L1      ,
	6A008240  ,	 A,	2022/1/4 上午 12:00:00,	9,	2130,	SUBMATWNV519             ,	1000.000,	0.800,	,	          ,	Die2_12402030DUMMY;12 200umF76004       ,
	6A008240  ,	 A,	2022/1/4 上午 12:00:00,	10,	3130,	SUBMATWNV520             ,	1000.000,	0.800,	,	          ,	Die3_30-P0LA01D384;12 60um;F76004       ,
	IA000158  ,	 A,	2021/6/9 上午 12:00:00,	1,	3720,	1011CA358A               ,	0.016,	0.800,	          ,	          ,	                                        ,
	5T044004  ,	 B,	2021/4/15 上午 12:00:00,	1,	2052,	1221C20036               ,	2000.000,	10.000,	          ,	          ,	,
	5T044004  ,	 B,	2021/4/15 上午 12:00:00,	2,	2052,	1221C20007               ,	5000.000,	10.000,	          ,	          ,	,
	5T044004  ,	 B,	2021/4/15 上午 12:00:00,	3,	2052,	1221C20045               ,	1000.000,	10.000,	          ,	          ,	,
	5T044004  ,	 B,	2021/4/15 上午 12:00:00,	4,	2052,	1221D20001               ,	1000.000,	10.000,	          ,	          ,	,
	5T044004  ,	 B,	2021/4/15 上午 12:00:00,	5,	2052,	1221R20060               ,	2000.000,	10.000,	          ,	          ,	,
	5T044004  ,	 B,	2021/4/15 上午 12:00:00,	6,	2070,	121102170A               ,	1000.000,	0.900,	0.180     ,	          ,	,
	5T044004  ,	 B,	2021/4/15 上午 12:00:00,	7,	2070,	1071F350L1               ,	0.053,	14.000,	          ,	          ,	DIE1-W25Q16JVWI 12  50um                ,
	5T044004  ,	 B,	2021/4/15 上午 12:00:00,	8,	2130,	1071F76004               ,	0.175,	14.000,	          ,	          ,	DIE2-EM32F867A 12  50um                 ,
	5T044004  ,	 B,	2021/4/15 上午 12:00:00,	9,	3130,	1071F40001               ,	1.812,	14.000,	          ,	          ,	DIE3-EFSA810RC 8  275um                 ,
	5T044004  ,	 B,	2021/4/15 上午 12:00:00,	10,	2200,	1091A06C41               ,	57.836,	0.150,	84        ,	          ,	0.6 mil Au                              ,
	5T044004  ,	 B,	2021/4/15 上午 12:00:00,	11,	3200,	1091A06C41               ,	26.738,	0.150,	37R       ,	          ,	0.6 mil Au(R)                           ,
	5T044004  ,	 B,	2021/4/15 上午 12:00:00,	12,	2300,	1081A381C1               ,	0.186,	4.000,	          ,	          ,	,
	5T044004  ,	 B,	2021/4/15 上午 12:00:00,	13,	2052,	1101T70525               ,	8.680,	3.000,	          ,	          ,	,
	5T044004  ,	 B,	2021/4/15 上午 12:00:00,	14,	2052,	SUBMATSHQ263             ,	1000.000,	0.800,	,	          ,	AHQ0445T2001A                           ,
	5T044004  ,	 B,	2021/4/15 上午 12:00:00,	15,	2070,	SUBMATWCME335ENG         ,	1000.000,	0.800,	,	          ,	DIE1-W25Q16JVWI 1071F350L1              ,
	5T044004  ,	 B,	2021/4/15 上午 12:00:00,	16,	2130,	SUBMATWCME336ENG         ,	1000.000,	0.800,	,	          ,	DIE2-EM32F867A 1071F76004               ,
	5T044004  ,	 B,	2021/4/15 上午 12:00:00,	17,	3130,	SUBMATWCME358ENG         ,	1000.000,	0.800,	,	          ,	DIE3-EFSA810RC 1071F40001               ,
	IA000E14  ,	 B,	2021/8/11 上午 12:00:00,	1,	3720,	1011CA363A               ,	0.008,	0.140,	          ,	          ,	,
	Y6008080  ,	 A,	2019/10/29 上午 12:00:00,	1,	2070,	120101055A               ,	1000.000,	3.400,	0.152     ,	          ,	靜電袋出貨                              ,
	Y6008080  ,	 A,	2019/10/29 上午 12:00:00,	2,	2070,	1071F76004               ,	0.070,	14.000,	          ,	          ,	,
