¦C¼Æ,bd_id,oper,model,remark,trans_date,trans_time,
282,	AAB090MV1001A       ,	2200,	UTC1000S    ,	AAB090MV1001A-2200-Criteria             ,	20220211,	144204,
283,	AAB090MV1001A       ,	2200,	UTC2000     ,	AAB090MV1001A-2200-Criteria             ,	20220211,	144204,
284,	AUL086TA1003A       ,	2200,	UTC1000S    ,	AUL086TA1003A-2200-Criteria             ,	20220217,	95518,
285,	AHQ0442J3008A       ,	2200,	RAPID       ,	20220211-E-AHQ0442J3008A-2200-Criteria  ,	20220211,	153038,
286,	AHQ0442J3008A       ,	3200,	RAPID       ,	20220211-E-AHQ0442J3008A-3200-Criteria  ,	20220211,	153038,
287,	AMS048TW1020A       ,	2200,	UTC1000S    ,	AMS048TW1020A-2200-Criteria             ,	20220211,	163704,
288,	AMS048TW1020A       ,	2200,	UTC2000     ,	AMS048TW1020A-2200-Criteria             ,	20220211,	163704,
289,	AMS078EN1005A       ,	2200,	UTC1000S    ,	20220219-B-AMS078EN1005A-2200-Criteria  ,	20220219,	144941,
290,	AEU0086B1009A       ,	2200,	RAPID       ,	20220211-C-AEU0086B1009A-2200-Criteria  ,	20220211,	220726,
291,	AHQ0442J4004A       ,	3200,	ICONN       ,	20220217-D-AHQ0442J4004A-3200-Criteria  ,	20220217,	185755,
292,	AHQ0225N1001B       ,	2200,	ICONN       ,	20220211-A-AHQ0225N1001B-2200-Criteria  ,	20220211,	222011,
293,	AHQ0345V1001A       ,	2200,	RAPID       ,	20220216-B-AHQ0345V1001A-2200-Criteria  ,	20220216,	110600,
294,	AHQ0345V1001A       ,	3200,	ICONN       ,	20220216-B-AHQ0345V1001A-3200-Criteria  ,	20220216,	110600,
295,	AHQ0345V1001A       ,	3200,	RAPID       ,	20220216-B-AHQ0345V1001A-3200-Criteria  ,	20220216,	110600,
296,	AAB084CC9002A       ,	2200,	UTC5000S    ,	20220212-A-AAB084CC9002A-2200-Criteria  ,	20220212,	20959,
297,	AAB084CC9002A       ,	2200,	MAXUM-PLUS  ,	20220212-A-AAB084CC9002A-2200-Criteria  ,	20220212,	20959,
298,	AAB084CC9002A       ,	2200,	RAPID       ,	20220212-A-AAB084CC9002A-2200-Criteria  ,	20220212,	20959,
299,	AAB024MAA004A       ,	2200,	UTC1000S    ,	20220212-A-AAB024MAA004A-2200-Criteria  ,	20220212,	52146,
300,	ASS153XT9001A       ,	2200,	UTC3000     ,	ASS153XT9001A-2200-Criteria             ,	20210228,	64642,
301,	AAB024MAA004A       ,	2200,	UTC2000     ,	20220212-A-AAB024MAA004A-2200-Criteria  ,	20220212,	52146,
302,	ALW078EP1001A       ,	2200,	UTC1000S    ,	20220216-B-ALW078EP1001A-2200-Criteria  ,	20220216,	173246,
303,	ALW078EP1001A       ,	2200,	UTC2000     ,	20220216-B-ALW078EP1001A-2200-Criteria  ,	20220216,	173246,
304,	AAW048TP1042C       ,	2200,	UTC1000S    ,	AAW048TP1042C-2200-Criteria             ,	20210227,	171538,
305,	AAW048TP1042C       ,	2200,	UTC2000     ,	AAW048TP1042C-2200-Criteria             ,	20210227,	171538,
306,	ALW078EP1001A       ,	2200,	UTC3000     ,	20220216-B-ALW078EP1001A-2200-Criteria  ,	20220216,	173246,
307,	ALW078EP1001A       ,	2200,	UTC5000S    ,	20220216-B-ALW078EP1001A-2200-Criteria  ,	20220216,	173246,
308,	ALW078EP1001A       ,	2200,	MAXUM-PLUS  ,	20220216-B-ALW078EP1001A-2200-Criteria  ,	20220216,	173246,
309,	ALW078EP1001A       ,	2200,	MAXUM       ,	20220216-B-ALW078EP1001A-2200-Criteria  ,	20220216,	173246,
310,	ARK078EP1001B       ,	2200,	UTC1000S    ,	20220213-A-ARK078EP1001B-2200-Criteria  ,	20220213,	94816,
311,	ARK078EP1001B       ,	2200,	UTC2000     ,	20220213-A-ARK078EP1001B-2200-Criteria  ,	20220213,	94816,
312,	ARK078EP1001B       ,	2200,	UTC3000     ,	20220213-A-ARK078EP1001B-2200-Criteria  ,	20220213,	94816,
313,	ARK078EP1001B       ,	2200,	UTC5000S    ,	20220213-A-ARK078EP1001B-2200-Criteria  ,	20220213,	94816,
314,	ARK078EP1001B       ,	2200,	MAXUM-PLUS  ,	20220213-A-ARK078EP1001B-2200-Criteria  ,	20220213,	94816,
315,	ARK078EP1001B       ,	2200,	MAXUM       ,	20220213-A-ARK078EP1001B-2200-Criteria  ,	20220213,	94816,
316,	ARK078EP1001B       ,	2200,	ICONN       ,	20220213-A-ARK078EP1001B-2200-Criteria  ,	20220213,	94816,
317,	ASS153XT9001A       ,	2200,	UTC2000     ,	ASS153XT9001A-2200-Criteria             ,	20210228,	64642,
318,	ARK078EP1001B       ,	2200,	ICONN-PLUS  ,	20220213-A-ARK078EP1001B-2200-Criteria  ,	20220213,	94816,
319,	ARK078EP1001B       ,	2200,	RAPID       ,	20220213-A-ARK078EP1001B-2200-Criteria  ,	20220213,	94816,
320,	AAW024MA6008A       ,	2200,	UTC1000S    ,	20220213-A-AAW024MA6008A-2200-Criteria  ,	20220213,	103342,
321,	AAW024MA6008A       ,	2200,	UTC2000     ,	20220213-A-AAW024MA6008A-2200-Criteria  ,	20220213,	103342,
322,	AHQ0225N1001A       ,	2200,	ICONN       ,	AHQ0225N1001A-2200-Criteria             ,	20220213,	120502,
323,	ANV0086A1003A       ,	2200,	MAXUM-PLUS  ,	ANV0086A1003A-2200-Criteria             ,	20210228,	181936,
324,	ANV0086A1003A       ,	2200,	MAXUM       ,	ANV0086A1003A-2200-Criteria             ,	20210228,	181936,
325,	ANI010YK3004A       ,	2200,	MAXUM       ,	20220213-A-ANI010YK3004A-2200-Criteria  ,	20220213,	201609,
326,	AAS162KE1014A       ,	2200,	MAXUM       ,	20220214-B-AAS162KE1014A-2200-Criteria  ,	20220214,	152316,
327,	ABU008YM2002A       ,	2200,	MAXUM-PLUS  ,	20220213-A-ABU008YM2002A-2200-Criteria  ,	20220213,	235527,
328,	ABU008YM2002A       ,	2200,	MAXUM       ,	20220213-A-ABU008YM2002A-2200-Criteria  ,	20220213,	235527,
329,	ABU008YM2002A       ,	2200,	ICONN-PLUS  ,	20220213-A-ABU008YM2002A-2200-Criteria  ,	20220213,	235527,
330,	AAS162KE1016A       ,	2200,	MAXUM       ,	20220214-B-AAS162KE1016A-2200-Criteria  ,	20220214,	150922,
331,	ANI020YU1001M       ,	2200,	ICONN       ,	20220214-A-ANI020YU1001M-2200-Criteria  ,	20220214,	43844,
332,	ANI020YU1001M       ,	2200,	RAPID       ,	20220214-A-ANI020YU1001M-2200-Criteria  ,	20220214,	43844,
333,	AAW008YM1012A       ,	2200,	MAXUM-PLUS  ,	20220214-A-AAW008YM1012A-2200-Criteria  ,	20220214,	62001,
334,	AAW008YM1012A       ,	2200,	MAXUM       ,	20220214-A-AAW008YM1012A-2200-Criteria  ,	20220214,	62001,
335,	AAW008YM1012A       ,	2200,	RAPID       ,	20220214-A-AAW008YM1012A-2200-Criteria  ,	20220214,	62001,
336,	ABU008YD2008A       ,	2200,	MAXUM       ,	ABU008YD2008A-2200-Criteria             ,	20220214,	92440,
337,	AAB008YM2018A       ,	2200,	MAXUM-PLUS  ,	AAB008YM2018A-2200-Criteria             ,	20220214,	92443,
338,	AAB008YM2018A       ,	2200,	MAXUM       ,	AAB008YM2018A-2200-Criteria             ,	20220214,	92443,
339,	AAB008YM2018A       ,	2200,	ICONN       ,	AAB008YM2018A-2200-Criteria             ,	20220214,	92443,
340,	AAB008YM2018A       ,	2200,	ICONN-PLUS  ,	AAB008YM2018A-2200-Criteria             ,	20220214,	92443,
341,	AAB008YM2018A       ,	2200,	RAPID       ,	AAB008YM2018A-2200-Criteria             ,	20220214,	92443,
342,	ACR137M82001B       ,	2200,	UTC1000S    ,	20220214-B-ACR137M82001B-2200-Criteria  ,	20220214,	170522,
343,	AAB008YD2005A       ,	2200,	MAXUM       ,	AAB008YD2005A-2200-Criteria             ,	20220214,	95057,
344,	AAB008YD2005A       ,	2200,	RAPID       ,	AAB008YD2005A-2200-Criteria             ,	20220214,	95057,
345,	AAB008YQ2002A       ,	2200,	MAXUM-PLUS  ,	AAB008YQ2002A-2200-Criteria             ,	20220214,	95059,
