ENTITY,MODEL,STATUS,LOT#,OPER,PRODUCT,BOND ID,OUTPLAN,IN TIME,CUST,PIN_PKG,WIP,PM,Lot Part Id,Lot Urgent Code,Last Wip Lot,Last Pin Package,Last Cust,Last bd id,Last Part ID,G.UPH,wip_outplan_time,SETTING OPER,ent_weight
BB837,MAXUM,RUNNING,R23ABBB03,2200.0,008YQAB114,AAB008YQ3021A,22-06-06 10:26,22-06-05 23:02,WINBOND,STDFN08YQ3AW,5600.0,,1091A08T21,,R22ABBS01,STDFN08YQ3AW,WINBOND,AAB008YQ3021A,1091A08T21,491.3119,22-06-06 10:26,2200,9961.8
BB838,MAXUM,RUNNING,R23AWAB33,2200.0,008Y6AW032,AAW008Y62014A,22-06-06 09:47,22-06-06 02:46,MXIC,DFN-08Y62D,8320.0,,1091A07T41,,R23AWB824,DFN-08Y62D,MXIC,AAW008Y62014A,1091A07T41,1184.7633,22-06-06 09:47,2200,0.0
BB839,MAXUM,RUNNING,R23AWB830,2200.0,008Y6AW032,AAW008Y62014A,22-06-06 09:46,22-06-06 02:44,MXIC,DFN-08Y62D,8320.0,,1091A07T41,4,R23AWB831,DFN-08Y62D,MXIC,AAW008Y62014A,1091A07T41,1184.7633,22-06-06 09:46,2200,0.0
BB840,MAXUM,RUNNING,R23ABH903,2200.0,008YMAB062,AAB008YM2023A,22-06-06 10:55,22-06-05 23:54,WINBOND,DFN-08YM2D,16000.0,,1091A07T21,,R23ABFY02,DFN-08YB2G,WINBOND,AAB008YB2003A,1091A07T21,1451.5763,22-06-06 10:55,2200,44104.54945054945
BB841,MAXUM,PM,,,,ABW072AF1004B,22-06-06 15:34,22-06-06 07:34,,,,06/06/2022 SP,,,R22BWJ810,QFN-72AF1,AKM,ABW072AF1004B,1091A07C41,110.3258,,2200,3600.552380952381
BB842,MAXUM,RUNNING,R20ASC803,2200.0,096ELAS043,AAS096EL1009B,22-06-06 10:04,22-06-05 20:02,EliteMT,FBGA-96UEL,2047.0,06/07/2022 SP,,,R20ASBX08,FBGA-96UEL,EliteMT,AAS096EL1009B,1091G08PA4,146.181,22-06-06 10:04,2200,6612.85294117647
BB843,MAXUM,RUNNING,R23MSL708,2200.0,096ECMS003,AMS096EC1002A,22-06-06 07:31,22-06-06 03:35,MTI,FBGA-96UEC,1220.0,06/08/2022 SP,1091A06T41,,R23MSL505,FBGA-96UEC,MTI,AMS096EC1002A,1091A06T41,315.8637,,2200,98554.18095238095
BB844,MAXUM,RUNNING,R23ABBA01,2200.0,008YQAB114,AAB008YQ3021A,22-06-06 18:05,22-06-06 06:41,WINBOND,STDFN08YQ3AW,5600.0,06/09/2022 SP,,,R23ABBB01,STDFN08YQ3AW,WINBOND,AAB008YQ3021A,1091A08T21,491.3119,22-06-06 18:05,2200,9961.8
BB845,MAXUM,IDLE,,,,AAS084CC2023A,,22-06-05 08:48,,,,06/10/2022 SP,,,R20ASBF04,FBGA-84UC,EliteMT,AAS084CC2023A,1091G08PA4,192.9814,,2200,0.0
BB846,MAXUM,RUNNING,R23MSM301,2200.0,096ECMS003,AMS096EC1002A,22-06-06 21:00,22-06-06 03:33,MTI,FBGA-96UEC,5509.0,06/11/2022 SP,1091A06T41,,R23MSL406,FBGA-96UEC,MTI,AMS096EC1002A,1091A06T41,315.8637,22-06-06 21:00,2200,98554.18095238095
BB847,MAXUM,ENG,,,,AAS178NN2001A,22-06-06 05:53,22-06-06 05:53,,,,06/12/2022 SP,,,R20ASBF11,FBGA-84UC,EliteMT,AAS084CC2023A,1091G08PA4,124.3792,,2200,192.03333333333333
BB848,MAXUM,IDLE,,,,ATE066TS1001A,,22-06-04 08:35,,,,06/13/2022 SP,,,R21TEBD07,TSOP2-66CME,ZCN,ATE066TS1001A,1091G08PA4,215.55,,2200,0.0
BB849,MAXUM,RUNNING,R23AWDE01,2200.0,008Y6AW039,AAW008Y62017A,22-06-06 10:33,22-06-06 03:38,MXIC,DFN-08Y62D,8320.0,06/14/2022 SP,,,R23AWCN01,DFN-08Y62D,MXIC,AAW008Y62017A,1091A07T41,1204.5848,22-06-06 10:33,2200,21593.95604395604
BB850,MAXUM,IDLE,,,,AAS096EL1016A,,22-06-06 01:12,,,,06/15/2022 SP,,,R23ASAJ03,FBGA-96UEL-3,EliteMT,AAS096EL1016A,1091G08PA4,152.6264,,2200,30968.78676470588
BB851,MAXUM,RUNNING,R22BWJ805,2200.0,072AFBW022,ABW072AF1004B,22-06-06 11:41,22-06-05 21:11,AKM,QFN-72AF1,1600.0,06/16/2022 SP,1091A07C41,6,R22BWJ801,QFN-72AF1,AKM,ABW072AF1004B,1091A07C41,110.3258,22-06-06 11:41,2200,3600.552380952381
BB852,MAXUM,RUNNING,R23ASAI02,2200.0,096ELAS044,AAS096EL1016A,22-06-06 14:30,22-06-05 19:14,EliteMT,FBGA-96UEL-3,2940.0,06/17/2022 SP,1091G08PA4,,R23ASAH07,FBGA-96UEL-3,EliteMT,AAS096EL1016A,1091G08PA4,152.6264,22-06-06 14:30,2200,30968.78676470588
BB853,MAXUM,RUNNING,R23ABFE02,2200.0,008YQAB123,AAB008YQ3034A,22-06-06 10:18,22-06-06 04:57,WINBOND,DFN-08YQ3AW,5600.0,06/18/2022 SP,1091A07T21,4,R23ABFE01,DFN-08YQ3AW,WINBOND,AAB008YQ3034A,1091A07T21,1044.289,22-06-06 10:18,2200,784.5523809523809
BB854,MAXUM,SETUP,,,,AAB008YQ3034A,22-06-06 09:01,22-06-06 07:37,,,,06/19/2022 SP,,,R20ASBE04,FBGA-84UC,EliteMT,AAS084CC2023A,1091G08PA4,1044.289,,2200,784.5523809523809
BB855,MAXUM,RUNNING,R23MSM102,2200.0,096ECMS003,AMS096EC1002A,22-06-07 00:51,22-06-06 07:08,MTI,FBGA-96UEC,5600.0,06/20/2022 SP,1091A06T41,,R23MSL503,FBGA-96UEC,MTI,AMS096EC1002A,1091A06T41,315.8637,22-06-07 00:51,2200,98554.18095238095
BB856,MAXUM,RUNNING,R22ABC102,2200.0,008YDAB031,AAB008YD4004A,22-06-06 20:57,22-06-05 21:34,WINBOND,STDFN08YD4AW,9120.0,06/21/2022 SP,1091A07T21,,R22ABC101,STDFN08YD4AW,WINBOND,AAB008YD4004A,1091A07T21,390.2356,22-06-06 20:57,2200,42728.8
BB857,MAXUM,RUNNING,R23MSL903,2200.0,096ECMS003,AMS096EC1002A,22-06-06 21:04,22-06-06 03:22,MTI,FBGA-96UEC,5592.0,06/22/2022 SP,1091A06T41,,R23MSKY03,FBGA-96UEC,MTI,AMS096EC1002A,1091A06T41,315.8637,22-06-06 21:04,2200,98554.18095238095
BB858,MAXUM,IDLE,,,,AAS084CC2023A,,22-06-04 23:54,,,,06/23/2022 SP,,,R20ASBF14,FBGA-84UC,EliteMT,AAS084CC2023A,1091G08PA4,192.9814,,2200,0.0
BB859,MAXUM,RUNNING,R22BWJ809,2200.0,072AFBW022,ABW072AF1004B,22-06-06 09:12,22-06-05 18:41,AKM,QFN-72AF1,1600.0,06/24/2022 SP,1091A07C41,6,R22BWJ802,QFN-72AF1,AKM,ABW072AF1004B,1091A07C41,110.3258,22-06-06 09:12,2200,3600.552380952381
BB860,MAXUM,RUNNING,R22ABC105,2200.0,008YDAB031,AAB008YD4004A,22-06-06 07:56,22-06-05 08:34,WINBOND,STDFN08YD4AW,9120.0,06/25/2022 SP,1091A07T21,,R22ABBW08,STDFN08YD4AW,WINBOND,AAB008YD4004A,1091A07T21,390.2356,22-06-06 07:56,2200,42728.8
BB861,MAXUM,IDLE,,,,ATE066TS1001A,,22-06-04 16:28,,,,06/26/2022 SP,,,R21TEB909,TSOP2-66CME,ZCN,ATE066TS1001A,1091G08PA4,215.55,,2200,0.0
BB862,MAXUM,IDLE,,,,AAW008Y62014A,,22-06-05 22:23,,,,06/27/2022 SP,,,R23AWB832,DFN-08Y62D,MXIC,AAW008Y62014A,1091A07T41,1184.7633,,2200,0.0
