ENTITY,SUM,MODEL,STATUS,LOT#,Pre-Lot,OPER,PRODUCT,PACKAGE ID,BOND ID,WIP,IC Q'ty,IN TIME,OUTPLAN,CUST,PIN_PKG,CLOT,JCODE,UPH,LAMILATION,REMARK1,AREA,PM,SETTING OPER,Lot Part Id,Lot Urgent Code,Last Wip Lot,Last Pin Package,Last Cust,Last bd id,Last Part ID,Unnamed: 31,G.UPH,N.UPH,wip_outplan_time
BB817,6240,MAXUM,RUNNING,R03ABAG08,,2200,008YBAB023,AAG06491H/IG/W25Q32JWXGIQ,AAB008YB2011A,6240,68848,22-01-14 12:27,22-01-14 17:58,WINBOND,DFN-08YB2G,6047D25AC01,,1131.5622,,2000M,TB-B2,,2200,1091A07T21,4,R03ABAG04,DFN-08YB2G,WINBOND,AAB008YB2011A,1091A07T21,,1131.5622,1005.1102,2022-01-14 17:58:40
BB818,0,MAXUM,RUNNING,R02ASDW07,,2200,090NCAS001,M12L64322AS2AG{GBBXK},AAS090NC4001A,4099,32255,22-01-14 02:01,22-01-15 05:17,EliteMT,VFBGA90K4L,P1BMG.04,,150.3938,,3000M,TB-B2,01/14/2022 MP,2200,1091G08PA1,,R02ASDV03,VFBGA90K4L,EliteMT,AAS090NC4001A,1091G08PA1,,150.3938,133.5873,2022-01-15 05:17:15
BB819,4320,MAXUM,RUNNING,R03ABAB13,,2200,008YQAB085,AAG046/IG/W25R256JVEIN{B},AAB008YQ2045A,4320,82907,22-01-14 11:02,22-01-14 22:08,WINBOND,STDFN-08YQ2A,6201M0070,,389.0081,,3000M,TB-B2,01/15/2022 MP,2200,1091A07T21,,R03ABAC04,STDFN-08YQ2A,WINBOND,AAB008YQ2045A,1091A07T21,,389.0081,345.5365,2022-01-14 22:08:24
BB821,2160,MAXUM,RUNNING,R02ABPQ17,,2200,008YQAB046,AAG061/IG/W74M25JWZEIQ{90,AAB008YQ2026A,2160,80505,22-01-14 12:50,22-01-14 17:32,WINBOND,STDFN-08YQ2A,6201M0077,,459.8517,,3000,TB-B3,01/16/2022 MP,2200,1091A08T21,,R02ABPQ12,STDFN-08YQ2A,WINBOND,AAB008YQ2026A,1091A08T21,,459.8517,408.4633,2022-01-14 17:32:25
BB822,4320,MAXUM,RUNNING,R03ABAB15,,2200,008YQAB085,AAG046/IG/W25R256JVEIN{B},AAB008YQ2045A,4320,82907,22-01-14 15:28,22-01-15 02:34,WINBOND,STDFN-08YQ2A,6201M0070,,389.0081,,3000M,TB-B3,01/17/2022 MP,2200,1091A07T21,,R03ABAC05,STDFN-08YQ2A,WINBOND,AAB008YQ2045A,1091A07T21,,389.0081,345.5365,2022-01-15 02:34:22
BB823,0,MAXUM,RUNNING,R02ASCC06,,2200,096ELAS001,M15T1G1664AC1AG{GVNX2-13X,AAS096EL1002A,2920,18923,22-01-14 05:24,22-01-15 00:34,EliteMT,FBGA-96UEL-3,P18WT.03,,152.4326,,3000M,TB-B3,01/18/2022 MP,2200,1091G08PA1,,R02ASAZ23,FBGA-96UEL-3,EliteMT,AAS096EL1002A,1091G08PA1,,152.4326,135.3982,2022-01-15 00:34:13
BB824,5600,MAXUM,RUNNING,R02MSGQ07,,2200,096ECMS003,V89C JT1X16 C753EE{A},AMS096EC1002A,4628,38160,22-01-14 10:11,22-01-15 00:51,MTI,FBGA-96UEC,0992926.006,,315.8637,,3000M,TB-B3,01/19/2022 MP,2200,1091A06T41,,R02MSGR02,FBGA-96UEC,MTI,AMS096EC1002A,1091A06T41,,315.8637,280.5659,2022-01-15 00:51:43
BB825,8320,MAXUM,RUNNING,R02VGB719,,2200,008Y6VG008,IS25WP032E-JTLI-TR{Rough},ABU008Y62011A,8320,290509,22-01-14 10:38,22-01-14 17:01,ISSI-VG,DFN-08Y62D,P30901Y2,,1305.0184,,3000M,TB-B3,01/20/2022 MP,2200,1091A07C41,,R02VGB411,DFN-08Y62D,ISSI-VG,ABU008Y62011A,1091A07C41,,1237.7166,1099.4018,2022-01-14 17:01:04
BB826,2940,MAXUM,RUNNING,R02ASC810,,2200,096ELAS001,M15T1G1664AC1AG{GVNX2-13X,AAS096EL1002A,2928,36709,22-01-14 13:18,22-01-15 08:31,EliteMT,FBGA-96UEL-3,P18WL.01,,152.4326,,3000M,TB-B3,01/21/2022 MP,2200,,,R02ASBX02,FBGA-96UEL-3,EliteMT,AAS096EL1002A,1091G08PA1,,152.4326,135.3982,2022-01-15 08:31:14
BB827,0,MAXUM,RUNNING,R03ABAF41,,2200,008YBAB016,AAG0648T0/DB/W25Q32JWXGIM,AAB008YB2007A,6240,277136,22-01-14 12:38,22-01-14 17:56,WINBOND,DFN-08YB2G,613837000,,1175.9163,,3000M,TB-B3,01/23/2022 MP,2200,1091A07T21,4,R03ABAF35,DFN-08YB2G,WINBOND,AAB008YB2007A,1091A07T21,,1175.9163,1044.5077,2022-01-14 17:56:45
