lot_number,oper,cust,pin_pkg,prod_id,qty,part_id,part_no,bd_id,entity,start_time,end_time
R23BWE203,2200,AKM,QFN-72AF1,072AFBW022,1600,1091A07C41,A0803CB0424,ABW072AF1004B,BB841,2022-06-07 09:27:48,2022-06-08 01:59:46
R23BWE210,2200,AKM,QFN-72AF1,072AFBW022,1600,1091A07C41,A0803CB0424,ABW072AF1004B,BB841,2022-06-08 01:59:46,2022-06-08 18:31:45
R20ASCH06,2200,EliteMT,FBGA-96UEL,096ELAS043,2978,1091G08PA4,A0803CB1240,AAS096EL1009B,BB842,2022-06-07 09:10:53,2022-06-08 08:24:20
R23ABBA04,2200,WINBOND,STDFN08YQ3AW,008YQAB114,5600,1091A08T21,A0803CB1365,AAB008YQ3021A,BB844,2022-06-06 18:05:00,2022-06-07 07:04:37
R23AWCN07,2200,MXIC,DFN-08Y62D,008Y6AW039,8320,1091A07T41,A0803CB0926,AAW008Y62017A,BB849,2022-06-06 10:33:00,2022-06-06 18:25:26
R23AWCN05,2200,MXIC,DFN-08Y62D,008Y6AW039,8320,1091A07T41,A0803CB0926,AAW008Y62017A,BB849,2022-06-06 18:25:26,2022-06-07 02:17:52
R23AWDE02,2200,MXIC,DFN-08Y62D,008Y6AW039,8320,1091A07T41,A0803CB0926,AAW008Y62017A,BB849,2022-06-07 02:17:52,2022-06-07 10:10:18
R23AWCN06,2200,MXIC,DFN-08Y62D,008Y6AW039,8320,1091A07T41,A0803CB0926,AAW008Y62017A,BB849,2022-06-07 10:10:18,2022-06-07 18:02:44
R23AWDE07,2200,MXIC,DFN-08Y62D,008Y6AW039,8320,1091A07T41,A0803CB0926,AAW008Y62017A,BB849,2022-06-07 18:02:44,2022-06-08 01:55:10
R23AWDE10,2200,MXIC,DFN-08Y62D,008Y6AW039,8320,1091A07T41,A0803CB0926,AAW008Y62017A,BB849,2022-06-08 01:55:10,2022-06-08 09:47:36
R23AWDE13,2200,MXIC,DFN-08Y62D,008Y6AW039,8320,1091A07T41,A0803CB0926,AAW008Y62017A,BB849,2022-06-08 09:47:36,2022-06-08 17:40:02
R23AWDE16,2200,MXIC,DFN-08Y62D,008Y6AW039,8320,1091A07T41,A0803CB0926,AAW008Y62017A,BB849,2022-06-08 17:40:02,2022-06-09 01:32:28
R23ASAG02,2200,EliteMT,FBGA-96UEL-3,096ELAS044,3000,1091G08PA4,A0803CB1240,AAS096EL1016A,BB850,2022-06-06 08:06:00,2022-06-07 06:30:27
R23ASAQ07,2200,EliteMT,FBGA-96UEL-3,096ELAS044,3000,1091G08PA4,A0803CB1240,AAS096EL1016A,BB850,2022-06-07 06:30:27,2022-06-08 04:54:55
R23BWE201,2200,AKM,QFN-72AF1,072AFBW022,1600,1091A07C41,A0803CB0424,ABW072AF1004B,BB851,2022-06-07 04:12:58,2022-06-07 20:44:56
R23BWE208,2200,AKM,QFN-72AF1,072AFBW022,1600,1091A07C41,A0803CB0424,ABW072AF1004B,BB851,2022-06-07 20:44:56,2022-06-08 13:16:54
R23ASAG01,2200,EliteMT,FBGA-96UEL-3,096ELAS044,2930,1091G08PA4,A0803CB1240,AAS096EL1016A,BB852,2022-06-06 14:30:00,2022-06-07 12:23:05
R23ASAL08,2200,EliteMT,FBGA-96UEL-3,096ELAS044,3000,1091G08PA4,A0803CB1240,AAS096EL1016A,BB852,2022-06-07 12:23:05,2022-06-08 10:47:32
R23ABFE04,2200,WINBOND,DFN-08YQ3AW,008YQAB123,306,1091A07T21,A0803CB1341,AAB008YQ3034A,BB853,2022-06-06 10:18:00,2022-06-06 10:38:02
R23ABAG06,2200,WINBOND,STDFN08YD4AW,008YDAB031,9120,1091A07T21,A0803CB1340,AAB008YD4004A,BB856,2022-06-06 20:57:00,2022-06-07 23:35:32
R23ABAH02,2200,WINBOND,STDFN08YD4AW,008YDAB031,9120,1091A07T21,A0803CB1340,AAB008YD4004A,BB856,2022-06-07 23:35:32,2022-06-09 02:14:05
R23ABAG04,2200,WINBOND,STDFN08YD4AW,008YDAB031,9120,1091A07T21,A0803CB1340,AAB008YD4004A,BB856,2022-06-09 02:14:05,2022-06-10 04:52:37
R23BWE110,2200,AKM,QFN-72AF1,072AFBW022,1600,1091A07C41,A0803CB0424,ABW072AF1004B,BB859,2022-06-07 01:43:58,2022-06-07 18:15:56
R23BWE206,2200,AKM,QFN-72AF1,072AFBW022,1600,1091A07C41,A0803CB0424,ABW072AF1004B,BB859,2022-06-07 18:15:56,2022-06-08 10:47:54
R23ABAG02,2200,WINBOND,STDFN08YD4AW,008YDAB031,9120,1091A07T21,A0803CB1340,AAB008YD4004A,BB860,2022-06-07 10:59:32,2022-06-08 13:38:05
R23ABAH05,2200,WINBOND,STDFN08YD4AW,008YDAB031,9120,1091A07T21,A0803CB1340,AAB008YD4004A,BB860,2022-06-08 13:38:05,2022-06-09 16:16:37
R23ABAG03,2200,WINBOND,STDFN08YD4AW,008YDAB031,9120,1091A07T21,A0803CB1340,AAB008YD4004A,BB860,2022-06-09 16:16:37,2022-06-10 18:55:10
R23ABAH03,2200,WINBOND,STDFN08YD4AW,008YDAB031,9120,1091A07T21,A0803CB1340,AAB008YD4004A,BB863,2022-06-06 15:22:00,2022-06-07 18:00:32
R23ABAH06,2200,WINBOND,STDFN08YD4AW,008YDAB031,2149,1091A07T21,A0803CB1340,AAB008YD4004A,BB863,2022-06-07 18:00:32,2022-06-08 00:17:12
R23ABAG05,2200,WINBOND,STDFN08YD4AW,008YDAB031,9120,1091A07T21,A0803CB1340,AAB008YD4004A,BB863,2022-06-08 00:17:12,2022-06-09 02:55:45
R23ABAJ02,2200,WINBOND,STDFN08YD4AW,008YDAB031,4384,1091A07T21,A0803CB1340,AAB008YD4004A,BB863,2022-06-09 02:55:45,2022-06-09 15:44:10
R23ABAG07,2200,WINBOND,STDFN08YD4AW,008YDAB031,6604,1091A07T21,A0803CB1340,AAB008YD4004A,BB863,2022-06-09 15:44:10,2022-06-10 11:01:43
