,bd_id_1,bd_id_2,end_time,entity,jobcode,lot_num_1,lot_num_2,number,start_time,start_time_trans,end_time_trans
128,AAB024XJ6009A,ANV132X2C057A,1171.417163,BBB11,"CWN,SC,CSC",R23ABAU01,R23NVAA44,BBB11_5,961.417163,2022-06-07 00:07:25,2022-06-07 03:37:25
129,ATE096EI1002A,ATE096EI1001A,481.0,BBB12,"CWN,SC,CSC",R22TEAP10,R23TEAI08,BBB12_1,271.0,2022-06-06 12:37:00,2022-06-06 16:07:00
130,ATE096EI1001A,AAW016D53004A,3941.526824,BBB12,"CWN,SC,CSC",R23TEAN05,R22AWAR07,BBB12_6,3731.526824,2022-06-08 22:17:31,2022-06-09 01:47:31
131,ATE096EI1002A,ANV132X2C057A,1587.478981,BBB14,"CWN,SC,CSC",R22TEAV05,R23NVA955,BBB14_2,1377.478981,2022-06-07 07:03:28,2022-06-07 10:33:28
132,ATE096EI1002A,ANV132X2C057A,1523.478981,BBB19,"CWN,SC,CSC",R22TEAU04,R23NVAA30,BBB19_2,1313.478981,2022-06-07 05:59:28,2022-06-07 09:29:28
133,ABU078EA1001A,AAB024MAA010A,210.0,BBB21,"CWN,SC,CSC",,R23ABGW03,BBB21_1,0.0,2022-06-06 08:06:00,2022-06-06 11:36:00
134,AAB024MAA010A,ATE096EI1001A,1604.371517,BBB21,"CWN,SC,CSC",R23ABGY02,R23TEAK04,BBB21_5,1394.371517,2022-06-07 07:20:22,2022-06-07 10:50:22
135,ATE096EI1001A,AAW052XY1002A,3155.423338,BBB21,"CWN,SC,CSC",R23TEAL05,R23AWCI01,BBB21_7,2945.423338,2022-06-08 09:11:25,2022-06-08 12:41:25
136,AAW024MA5005A,AAB054TN1004A,174.0,BBB24,"MC,CSC",,R23ABBP01,BBB24_1,0.0,2022-06-06 08:06:00,2022-06-06 11:00:00
137,ABU200N74006A,ATE096EI1001A,210.0,BBB25,"CWN,SC,CSC",,R23TEAM09,BBB25_1,0.0,2022-06-06 08:06:00,2022-06-06 11:36:00
138,ATE096EI1001A,AMS078EP1001A,2910.570467,BBB25,"CWN,SC,CSC",R23TEAQ05,R23MSKP02,BBB25_3,2700.570467,2022-06-08 05:06:34,2022-06-08 08:36:34
139,ASS153XT3001A,AAB054TN1002A,210.0,BBB26,"CWN,SC,CSC",,R23ABC310,BBB26_1,0.0,2022-06-06 08:06:00,2022-06-06 11:36:00
140,AAB054TN1002A,ATE096EI1001A,1648.039708,BBB26,"CWN,SC,CSC",R23ABC310,R23TEAK10,BBB26_2,1438.039708,2022-06-07 08:04:02,2022-06-07 11:34:02
141,ANV153XT9078A,AMS090NC4003A,210.0,BBB27,"CWN,SC,CSC",,R23MSPH02,BBB27_1,0.0,2022-06-06 08:06:00,2022-06-06 11:36:00
142,AMS090NC4003A,ATE096EI1001A,2098.833327,BBB27,"CWN,SC,CSC",R23MSPH06,R23TEAN06,BBB27_3,1888.833327,2022-06-07 15:34:49,2022-06-07 19:04:49
143,ATE096EI1002A,ANV132X2C057A,1390.478981,BBB30,"CWN,SC,CSC",R22TEAV03,R23NVA910,BBB30_2,1180.478981,2022-06-07 03:46:28,2022-06-07 07:16:28
144,ACD096EL1003A,AAW024XJ6014A,174.0,BBB31,"MC,CSC",,R23AWB902,BBB31_1,0.0,2022-06-06 08:06:00,2022-06-06 11:00:00
145,ANV153XT9078A,AMS096EC3001B,174.0,BBB32,"MC,CSC",,R23MSMF08,BBB32_1,0.0,2022-06-06 08:06:00,2022-06-06 11:00:00
146,ATE096EI1002A,AAB024MAA010A,49.0,BBB33,"CWN,SC,CSC",R22TEAN14,R23ABGX01,BBB33_1,-161.0,2022-06-06 05:25:00,2022-06-06 08:55:00
147,AAB024MAA010A,AAB054TN1002A,1124.230063,BBB33,"CWN,SC,CSC",R23ABGX02,R23ABC515,BBB33_4,914.230063,2022-06-06 23:20:13,2022-06-07 02:50:13
