wrto_route,wrto_oper,wrto_seq_num,wrto_opr_shrt_desc
BGA23,2230,17,M/D QUEUE
BGA23,2300,18,M/D
BGA23,2320,19,T/M
BGA23,6000,20,WTC2
BGA23,2330,21,PMC
BGA23,2405,22,PLASMA
BGA23,2410,23,S/P
BGA23,2430,24,F/S
BGA23,2435,25,P/P
BGA23,2440,26,O/S
BGA23,2450,27,L/S
BGA23,2460,28,F/V
BGA23,2470,29,4IP
BGA23,2480,30,PACK
BGA23,2490,31,SHIP
BGA239,2000,1,IQC
BGA239,2003,2,TPM
BGA239,2005,3,TAPING
BGA239,2010,4,LAPPING
BGA239,2020,5,A21 QUEUE
BGA239,2030,6,W/M
BGA239,2040,7,D/S
BGA239,2050,8,A31
BGA239,2060,9,2IP
BGA239,2061,10,UV
BGA239,2070,11,D/A
BGA239,2080,12,D/A CURE
BGA239,2150,13,PLASMA
BGA239,2090,14,POST D/A Q
BGA239,2200,15,W/B
BGA239,2209,16,BMP
BGA239,2210,17,3IP
BGA239,2250,18,PLASMA
BGA239,2230,19,M/D QUEUE
BGA239,2300,20,M/D
BGA239,2320,21,T/M
BGA239,6000,22,WTC2
BGA239,2330,23,PMC
BGA239,2405,24,PLASMA
BGA239,2418,25,WTC
BGA239,2410,26,S/P
BGA239,2430,27,F/S
BGA239,2435,28,P/P
BGA239,2440,29,O/S
BGA239,2450,30,L/S
BGA239,2460,31,F/V
BGA239,2470,32,4IP
BGA239,2480,33,PACK
BGA239,2490,34,SHIP
BGA247,2000,1,IQC
BGA247,2003,2,TPM
BGA247,2005,3,TAPING
BGA247,2010,4,LAPPING
BGA247,2020,5,A21 QUEUE
BGA247,2030,6,W/M
BGA247,2040,7,D/S
BGA247,2050,8,A31
BGA247,2060,9,2IP
BGA247,2061,10,UV
BGA247,2070,11,D/A
BGA247,2080,12,D/A CURE
BGA247,2150,13,PLASMA
BGA247,2090,14,POST D/A Q
BGA247,2200,15,W/B
BGA247,2205,16,A41
BGA247,2210,17,3IP
BGA247,2250,18,PLASMA
BGA247,2230,19,M/D QUEUE
BGA247,2300,20,M/D
BGA247,6000,21,WTC2
BGA247,2330,22,PMC
BGA247,2320,23,T/M
BGA247,2405,24,PLASMA
BGA247,2410,25,S/P
BGA247,2430,26,F/S
BGA247,2440,27,O/S
BGA247,2450,28,L/S
BGA247,2460,29,F/V
BGA247,2470,30,4IP
BGA247,2480,31,PACK
BGA247,2490,32,SHIP
BGA248,2000,1,IQC
BGA248,2003,2,TPM
BGA248,2005,3,TAPING
BGA248,2010,4,LAPPING
BGA248,2020,5,A21 QUEUE
BGA248,2030,6,W/M
BGA248,2040,7,D/S
BGA248,2050,8,A31
BGA248,2060,9,2IP
BGA248,2061,10,UV
BGA248,2070,11,D/A
BGA248,2080,12,D/A CURE
BGA248,2150,13,PLASMA
BGA248,2090,14,POST D/A Q
BGA248,2200,15,W/B
BGA248,2210,16,3IP
BGA248,2250,17,PLASMA
BGA248,2230,18,M/D QUEUE
BGA248,2300,19,M/D
BGA248,6000,20,WTC2
BGA248,2330,21,PMC
BGA248,2320,22,T/M
BGA248,2405,23,PLASMA
BGA248,2410,24,S/P
BGA248,2430,25,F/S
BGA248,2440,26,O/S
BGA248,2450,27,L/S
BGA248,2460,28,F/V
BGA248,2470,29,4IP
BGA248,2480,30,PACK
BGA248,2490,31,SHIP
BGA254,2000,1,IQC
BGA254,2003,2,TPM
BGA254,2005,3,TAPING
