part_no,qty1,qty3
A0801CB0389,16,16
A0801CB0390,3,3
A0801CB0404,5,5
A0801CB0406,1,1
A0801CB0410,4,4
A0801CB0420,67,67
A0801CB0423,1,1
A0801CB0437,1,1
A0801CB0448,12,12
A0801CB0450,15,15
A0801CB0453,11,11
A0801CB0454,1,1
A0801CB0455,5,5
A0801CB0456,8,8
A0801CB0457,14,14
A0801CB0458,22,22
A0801CB0459,39,39
A0801CB0460,1,1
A0801CB0461,1,1
A0801CB0462,3,3
A0801CB0463,8,8
A0801CB0464,1,1
A0801CB0466,15,15
A0801CB0467,13,13
A0801CB0469,1,1
A0801CB0475,18,18
A0801CB0485,34,34
A0801CB0486,41,41
A0801CB0487,12,12
A0801CB0488,61,61
A0801CB0490,11,11
A0801CB0491,6,6
A0801CB0492,30,30
A0801CB0493,4,4
A0801CB0494,1,1
A0801CB0495,1,1
A0801CB0510,19,19
A0801CB0516,53,53
A0801CB0541,71,71
A0801CB0564,43,43
A0801CB0591,77,77
A0801CB0616,49,49
A0801CB0624,10,10
A0801CB0636,1,1
A0801CB0637,8,8
A0801CB0649,4,4
A0801CB0674,3,3
A0801CB0685,3,3
A0801CB0694,3,3
A0801CB0717,37,37
A0801CB0723,2,2
A0801CB0727,18,18
A0801CB0735,1,1
A0801CB0749,3,3
A0801CB0758,25,25
A0801CB0780,3,3
A0803CB0368,6,6
A0803CB0377,15,15
A0803CB0379,38,28
A0803CB0384,11,9
A0803CB0449,1,1
A0803CB0451,47,46
A0803CB0452,2,2
A0803CB0464,1,1
A0803CB0465,8,8
A0803CB0489,3,3
A0803CB0514,9,9
A0803CB0569,33,34
A0803CB0790,3,3
A0801CB0789,1,1
A0801CB0790,53,53
A0803CB0789,9,8
A0801CB0791,8,8
A0803CB0792,1,1
A0803CB0791,3,3
A0801CB0792,3,3
A0801CB0778,1,1
A0801CB0793,3,3
A0801CB0795,50,50
A0803CB0794,11,11
A0803CB0793,30,26
A0803CB0795,1,1
A0801CB0796,10,10
A0803CB0839,3,3
A0801CB0841,30,30
A0803CB0826,24,24
A0803CB0838,3,3
A0801CB0838,3,3
A0803CB0841,19,20
A0801CB0847,3,3
A0803CB0843,52,52
A0803CB0846,3,3
A0801CB0842,23,23
A0801CB0843,71,71
A0803CB0842,3,3
A0801CB0846,3,3
A0803CB0849,0,0
A0803CB0848,2,2
A0801CB0848,2,2
A0801CB0850,30,30
A0801CB0851,3,3
A0803CB0850,40,40
A0803CB0851,3,3
A0801CB0852,3,3
A0801CB0853,3,3
A0801CB0854,3,3
A0803CB0852,3,3
A0803CB0853,3,3
A0803CB0854,3,3
A0803CB0857,1,1
A0803CB0856,3,3
A0801CB0856,3,3
A0803CB0786,1,1
A0803CB0604,1,1
A0803CB0702,1,1
A0803CB1110,3,3
A0803CB0833,9,9
A0801CB0858,3,3
A0801CB0860,3,3
A0803CB0858,3,3
A0803CB0860,3,3
A0803CB0777,3,3
A0801CB0868,3,3
A0803CB0867,3,3
A0803CB0868,3,3
A0801CB0864,4,4
A0801CB0865,3,3
A0801CB0866,3,3
A0801CB0867,3,3
A0803CB1082,3,3
A0803CB0869,3,3
A0803CB0875,3,3
A0803CB0876,3,3
A0801CB0875,3,3
A0803CB0731,3,3
A0803CB0776,3,3
A0803CB0647,3,3
A0803CB0880,3,3
A0803CB0887,3,3
A0801CB0871,15,15
A0801CB0880,3,3
A0801CB0887,39,39
A0803CB0877,3,3
A0803CB0885,3,3
A0803CB0893,3,3
A0803CB0894,3,3
A0801CB0891,30,30
A0801CB1378,2,2
A0801CB1380,2,2
A0801CB1382,2,2
A0801CB1383,2,2
A0801CB1384,2,2
A0801CB1385,2,2
A0803CB1132,21,21
A0801CB1379,2,2
A0803CB1117,5,5
A0803CB0886,3,3
A0801CB0874,16,16
A0803CB0884,3,3
A0803CB0883,19,19
A0801CB0902,33,33
A0801CB0905,3,3
A0803CB0889,3,3
A0803CB1131,3,3
A0803CB1128,3,3
A0803CB1125,3,3
A0803CB1135,3,3
A0801CB1133,3,3
A0803CB1139,3,3
A0803CB0954,3,3
A0803CB1015,20,20
A0803CB0891,1,1
A0803CB0892,4,4
A0803CB0910,3,3
A0803CB0847,1,1
A0803CB0911,1,1
A0803CB0896,3,3
A0801CB0869,3,3
A0803CB0913,50,50
A0803CB0870,1,3
A0801CB0885,10,10
A0803CB0915,3,3
A0803CB0923,1,1
A0801CB0877,3,3
A0801CB0914,12,12
A0801CB0916,3,3
A0801CB0922,3,3
A0803CB0940,3,3
A0803CB0917,3,3
A0803CB0918,50,50
A0803CB0532,3,3
A0803CB0600,3,3
A0803CB0773,35,35
A0803CB0864,3,3
A0803CB0716,3,3
A0803CB0914,3,3
A0803CB0916,3,3
A0803CB0922,3,3
A0803CB0928,3,3
A0803CB0902,33,33
A0803CB0938,11,11
A0801CB0927,58,58
A0801CB0882,3,3
A0801CB0884,3,3
A0801CB0886,3,3
A0801CB0888,30,30
A0801CB0889,33,33
A0801CB0890,3,3
A0801CB0893,3,3
A0801CB0894,3,3
A0801CB0895,3,3
A0801CB0896,3,3
A0801CB0897,3,3
A0801CB0899,3,3
A0801CB0900,3,3
A0801CB0901,3,3
A0801CB0903,1,1
A0801CB0904,3,3
A0801CB0909,3,3
A0801CB0911,3,3
A0801CB0933,48,48
A0803CB0907,18,18
A0803CB0944,3,3
A0801CB0912,13,13
A0801CB0920,3,3
A0801CB0921,3,3
A0801CB0924,3,3
A0801CB0925,40,40
A0801CB0928,3,3
A0801CB0929,8,8
A0801CB0931,3,3
A0801CB0934,130,130
A0801CB0937,3,3
A0801CB0939,3,3
A0801CB0940,3,3
A0801CB0941,3,3
A0801CB0943,5,5
A0801CB0944,5,5
A0801CB0946,5,5
A0801CB0942,3,3
A0801CB0947,3,3
