¦C¼Æ,pin_package,bd_id,product,da_out,da_act,wb_out,wb_act,cure_out,cure_act,
60,	WLCSP       ,	ENG                 ,	000IABW052               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
61,	WLCSP       ,	                    ,	000IABW064               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
62,	WLCSP       ,	                    ,	000IABW074               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
63,	WLCSP       ,	                    ,	000IABW143               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
64,	TSOP2-54ME  ,	ACS054TN1006A       ,	054TNCS002               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
65,	MAT         ,	,	0008WPRT001              ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
66,	FCQFN-08OK2D,	ANI008OK2001A       ,	008OKNI040               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
67,	FCQFN-08OK2D,	ANI008OK2001A       ,	008OKNI067               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
68,	FCQFN-08OK2D,	ANI008OK2001A       ,	008OKNI079               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
69,	FCDFN-08Y72D,	ANI008Y71001C       ,	008Y7NI030               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
70,	FCDFN-08YZ2A,	ANI008YZ1001D       ,	008YZNI044               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
71,	FCDFN-08YZ2A,	ANI008YZ1001D       ,	008YZNI048               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
72,	DFN-12Y12A  ,	ANI012Y11002C       ,	012Y1NI048               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
73,	DFN-12Y12A  ,	ANI012Y11002C       ,	012Y1NI053               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
74,	FCQFN-12Y32D,	ANI012Y32002D       ,	012Y3NI060               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
75,	FCQFN-12Y32D,	ANI012Y32001B       ,	012Y3NI120               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
76,	FCQFN-12Y32D,	ANI012Y32002D       ,	012Y3NI139               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
77,	FCQFN-12Y32D,	ANI012Y32001B       ,	012Y3NI143               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
78,	FCQFN-12Y32D,	ANI012Y32002D       ,	012Y3NI190               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
79,	FCQFN-14OA2D,	ANI014OA1001C       ,	014OANI054               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
80,	QFN-20YU2D  ,	ANI020YU1005C       ,	020YUNI085               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
81,	QFN-20YU2D  ,	ANI020YU1005C       ,	020YUNI133               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
82,	QFN-20YU2D  ,	ANI020YU1001M       ,	020YUNI135               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
83,	QFN-20YU2D  ,	ANI020YU1002B       ,	020YUNI145               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
84,	QFN-20YU2D  ,	ANI020YU1002B       ,	020YUNI148               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
85,	QFN-20YU2D  ,	ANI020YU1001M       ,	020YUNI151               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
86,	QFN-20YU2D  ,	ANI020YU1002B       ,	020YUNI187               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
87,	QFN-20YU2D  ,	ANI020YU1002B       ,	020YUNI211               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
88,	QFN-20YU2D  ,	ANI020YU1002B       ,	020YUNI219               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
89,	QFN-20YU2D  ,	ANI020YU1002B       ,	020YUNI244               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
90,	QFN-20YU2D  ,	ANI020YU1002B       ,	020YUNI247               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
91,	QFN-20YU2D  ,	ANI020YU1001M       ,	020YUNI267               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
92,	QFN-20YU2D  ,	ANI020YU1002B       ,	020YUNI280               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
93,	QFN-20YU2D  ,	ANI020YU1002B       ,	020YUNI324               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
94,	QFN-20YU2D  ,	ANI020YU1002B       ,	020YUNI326               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
95,	QFN-20YU2D  ,	ANI020YU1002B       ,	020YUNI334               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
96,	FPSTLGA44YBV,	AHQ0442J3005A       ,	0442JHQ027               ,	16.24,	4.62,	37.46,	0.00,	0.00,	4.74,
97,	WLCSP       ,	ENG                 ,	000IACM112ENG            ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
98,	FPSTLG34AW4V,	AHQ0345V1001A       ,	0345VCM002ENG            ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
99,	SMT         ,	ACD008DR1031A       ,	000SCD029                ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
100,	TSOP2-54ME  ,	ACD054TA1008B       ,	054TNCD020               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
