¦C¼Æ,bd_id,oper,model,remark,trans_date,trans_time,
2497,	ABU008YM2002A       ,	2200,	MAXUM       ,	20211122-B-ABU008YM2002A-2200-Criteria  ,	20211122,	94921,
2498,	ABU008YM2002A       ,	2200,	ICONN-PLUS  ,	20211122-B-ABU008YM2002A-2200-Criteria  ,	20211122,	94921,
2499,	AAB008YQ2039B       ,	2200,	MAXUM       ,	20211122-B-AAB008YQ2039B-2200-Criteria  ,	20211122,	94931,
2500,	AAB008YQ2039B       ,	2200,	RAPID       ,	20211122-B-AAB008YQ2039B-2200-Criteria  ,	20211122,	94931,
2501,	AAB008YM2025A       ,	2200,	MAXUM-PLUS  ,	20211122-B-AAB008YM2025A-2200-Criteria  ,	20211122,	94942,
2502,	AAB008YM2025A       ,	2200,	MAXUM       ,	20211122-B-AAB008YM2025A-2200-Criteria  ,	20211122,	94942,
2503,	AAB008YM2025A       ,	2200,	ICONN-PLUS  ,	20211122-B-AAB008YM2025A-2200-Criteria  ,	20211122,	94942,
2504,	AAB008YM2025A       ,	2200,	RAPID       ,	20211122-B-AAB008YM2025A-2200-Criteria  ,	20211122,	94942,
2505,	AAW024XJ6019B       ,	3200,	UTC2000     ,	20211124-A-AAW024XJ6019B-3200-Criteria  ,	20211124,	161535,
2506,	ACD096EF2001B       ,	2200,	UTC1000S    ,	20211123-A-ACD096EF2001B-2200-Criteria  ,	20211123,	141237,
2507,	ACD096EF2001B       ,	2200,	UTC2000     ,	20211123-A-ACD096EF2001B-2200-Criteria  ,	20211123,	141237,
2508,	ACD096EF2001B       ,	2200,	UTC3000     ,	20211123-A-ACD096EF2001B-2200-Criteria  ,	20211123,	141237,
2509,	BU054MF1002A        ,	2200,	UTC1000S    ,	BU054MF1002A-2200-Criteria              ,	20211124,	2101,
2510,	AAW016D53009A       ,	2200,	UTC2000     ,	20211124-A-AAW016D53009A-2200-Criteria  ,	20211124,	93551,
2511,	AAW016D53010A       ,	2200,	UTC2000     ,	20211124-A-AAW016D53010A-2200-Criteria  ,	20211124,	93558,
2512,	AAS054TS1001B       ,	2200,	MAXUM-PLUS  ,	20211124-A-AAS054TS1001B-2200-Criteria  ,	20211124,	94037,
2513,	AAS054TS1001B       ,	2200,	MAXUM       ,	20211124-A-AAS054TS1001B-2200-Criteria  ,	20211124,	94037,
2514,	AOK016D54001A       ,	2200,	UTC3000     ,	20211124-C-AOK016D54001A-2200-Criteria  ,	20211124,	223752,
2515,	AHQ0442J4001A       ,	3200,	ICONN       ,	20211124-E-AHQ0442J4001A-3200-Criteria  ,	20211124,	115443,
2516,	AHQ0442J4001A       ,	3200,	RAPID       ,	20211124-E-AHQ0442J4001A-3200-Criteria  ,	20211124,	115443,
2517,	AAW024XJ6019B       ,	2200,	UTC2000     ,	20211124-A-AAW024XJ6019B-2200-Criteria  ,	20211124,	161535,
2518,	ASS153XT3002A       ,	3200,	UTC2000     ,	20211124-A-ASS153XT3002A-3200-Criteria  ,	20211124,	161621,
2519,	ASS153XT3002A       ,	3200,	UTC5000S    ,	20211124-A-ASS153XT3002A-3200-Criteria  ,	20211124,	161621,
2520,	ASS153XT3002A       ,	3200,	RAPID       ,	20211124-A-ASS153XT3002A-3200-Criteria  ,	20211124,	161621,
2521,	ASS153XT3002A       ,	2200,	UTC2000     ,	20211124-A-ASS153XT3002A-2200-Criteria  ,	20211124,	161621,
2522,	ASS153XT3002A       ,	2200,	UTC3000     ,	20211124-A-ASS153XT3002A-2200-Criteria  ,	20211124,	161621,
2523,	ASS153XT3002A       ,	2200,	UTC5000S    ,	20211124-A-ASS153XT3002A-2200-Criteria  ,	20211124,	161621,
2524,	ASS153XT3002A       ,	2200,	RAPID       ,	20211124-A-ASS153XT3002A-2200-Criteria  ,	20211124,	161621,
2525,	AHQ0345J1001A       ,	2200,	ICONN       ,	20211124-A-AHQ0345J1001A-2200-Criteria  ,	20211124,	163406,
2526,	AHQ0345J1001A       ,	2200,	ICONN-PLUS  ,	20211124-A-AHQ0345J1001A-2200-Criteria  ,	20211124,	163406,
2527,	AHQ0345J1001A       ,	2200,	RAPID       ,	20211124-A-AHQ0345J1001A-2200-Criteria  ,	20211124,	163406,
2528,	AAB096EL1017A       ,	2200,	UTC1000S    ,	20211124-A-AAB096EL1017A-2200-Criteria  ,	20211124,	180744,
2529,	AAB024MA6021A       ,	2200,	UTC1000S    ,	20211124-A-AAB024MA6021A-2200-Criteria  ,	20211124,	182240,
2530,	AOK016D53005A       ,	2200,	UTC2000     ,	AOK016D53005A-2200-Criteria             ,	20210129,	22701,
2531,	ACD066TN1006A       ,	2200,	UTC1000S    ,	20211124-A-ACD066TN1006A-2200-Criteria  ,	20211124,	182303,
2532,	ACD066TN1006A       ,	2200,	UTC2000     ,	20211124-A-ACD066TN1006A-2200-Criteria  ,	20211124,	182303,
2533,	AIS048MA9004A       ,	2200,	UTC1000S    ,	20211124-A-AIS048MA9004A-2200-Criteria  ,	20211124,	182325,
2534,	AIS048MA9004A       ,	2200,	UTC2000     ,	20211124-A-AIS048MA9004A-2200-Criteria  ,	20211124,	182325,
2535,	AYZ096EF2001A       ,	2200,	UTC2000     ,	20211124-A-AYZ096EF2001A-2200-Criteria  ,	20211124,	182355,
2536,	AHQ0262Q1001B       ,	2200,	ICONN       ,	AHQ0262Q1001B-2200-Criteria             ,	20210128,	170747,
2537,	AAW024MAA014A       ,	2200,	UTC1000S    ,	20211124-A-AAW024MAA014A-2200-Criteria  ,	20211124,	183138,
2538,	AAS048TG2008A       ,	2200,	MAXUM       ,	20211124-A-AAS048TG2008A-2200-Criteria  ,	20211124,	191347,
2539,	AAS048MAB008A       ,	2200,	MAXUM       ,	20211124-A-AAS048MAB008A-2200-Criteria  ,	20211124,	235040,
2540,	AAB063NW3008A       ,	2200,	UTC2000     ,	AAB063NW3008A-2200-Criteria             ,	20211125,	1519,
2541,	AAB084CC9002A       ,	2200,	UTC1000S    ,	AAB084CC9002A-2200-Criteria             ,	20211125,	1524,
2542,	BU048MW2003B        ,	2200,	UTC1000S    ,	BU048MW2003B-2200-Criteria              ,	20211125,	1526,
