CAN_RUN_MODELS,PROCESS_TIME,amount_of_tools,amount_of_wires,automotive,bom_id,code,customer,dest_oper,fcst_time,hold,is_sub_lot,log,lot_number,lot_size,mvin,oper,package_id,part_id,part_no,pin_package,prescheduled_machine,prescheduled_order,process_id,prod_id,qty,queue_time,recipe,route,uphs,urgent_code,wb_location
UTC2000,1027.84994,35,257,N,EF096067,,ZJP,2200,0,N,Y,"Add queue time + -1959.000000 for the reason : DA Queue Time||Pass the station(2080), add cure time : 0||Add cure time + 0.000000 for cure station : 2080||Add queue time + 120.000000 for(2080->2150)||Add queue time + 30.000000 for(2150->2200)||Lot finishes traversing the route",R06YZAB24,2500,Y,2070,P3T1GF40CBF-Z{YZ}{RYOWA},1091A07T21,A0801CB1087,FBGA-96UEF,,-1,096EF063,096EFYZ004,2500,-1809,AYZ096EF2003A,BGA185,145.935699,,
UTC2000,1027.84994,35,257,N,EF096067,,ZJP,2200,0,N,Y,"Add queue time + 0.000000 for the reason : DA Queue Time||Pass the station(2080), add cure time : 0||Add cure time + 0.000000 for cure station : 2080||Add queue time + 120.000000 for(2080->2150)||Add queue time + 30.000000 for(2150->2200)||Lot finishes traversing the route",R06YZAB17,2500,N,2080,P3T1GF40CBF-Z{YZ}{RYOWA},1091A07T21,A0801CB1087,FBGA-96UEF,,-1,096EF063,096EFYZ004,2500,150,AYZ096EF2003A,BGA185,145.935699,,
UTC2000,1020.860561,35,257,N,EF096067,,ZJP,2200,0,N,Y,"Add queue time + 0.000000 for the reason : DA Queue Time||Pass the station(2080), add cure time : 0||Add cure time + 0.000000 for cure station : 2080||Add queue time + 120.000000 for(2080->2150)||Add queue time + 30.000000 for(2150->2200)||Lot finishes traversing the route",R06YZAB18,2500,N,2080,P3T1GF40CBF-Z{YZ}{RYOWA},1091A07T21,A0801CB1087,FBGA-96UEF,,-1,096EF063,096EFYZ004,2483,150,AYZ096EF2003A,BGA185,145.935699,,
UTC2000,1021.271701,35,257,N,EF096067,,ZJP,2200,0,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Add queue time + 30.000000 for(2150->2200)||Lot finishes traversing the route,R06YZAB01,2500,N,2150,P3T1GF40CBF-Z{YZ}{RYOWA},1091A07T21,A0801CB1087,FBGA-96UEF,,-1,096EF063,096EFYZ004,2484,30,AYZ096EF2003A,BGA185,145.935699,,N2A26-1
UTC2000,1027.84994,35,257,N,EF096067,,ZJP,2200,0,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Add queue time + 30.000000 for(2150->2200)||Lot finishes traversing the route,R06YZAB05,2500,N,2150,P3T1GF40CBF-Z{YZ}{RYOWA},1091A07T21,A0801CB1087,FBGA-96UEF,,-1,096EF063,096EFYZ004,2500,30,AYZ096EF2003A,BGA185,145.935699,,N2A26-1
UTC2000,1019.627141,35,257,N,EF096067,,ZJP,2200,0,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Add queue time + 30.000000 for(2150->2200)||Lot finishes traversing the route,R06YZAB09,2500,N,2150,P3T1GF40CBF-Z{YZ}{RYOWA},1091A07T21,A0801CB1087,FBGA-96UEF,,-1,096EF063,096EFYZ004,2480,30,AYZ096EF2003A,BGA185,145.935699,,N2A08-2
UTC2000,1024.149681,35,257,N,EF096067,,ZJP,2200,0,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Add queue time + 30.000000 for(2150->2200)||Lot finishes traversing the route,R06YZAB13,2500,N,2150,P3T1GF40CBF-Z{YZ}{RYOWA},1091A07T21,A0801CB1087,FBGA-96UEF,,-1,096EF063,096EFYZ004,2491,30,AYZ096EF2003A,BGA185,145.935699,,N2A09-2
UTC2000,1027.84994,35,257,N,EF096067,,ZJP,2200,0,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Add queue time + 30.000000 for(2150->2200)||Lot finishes traversing the route,R06YZAB02,2500,N,2150,P3T1GF40CBF-Z{YZ}{RYOWA},1091A07T21,A0801CB1087,FBGA-96UEF,,-1,096EF063,096EFYZ004,2500,30,AYZ096EF2003A,BGA185,145.935699,,N2A26-1
UTC2000,1022.505121,35,257,N,EF096067,,ZJP,2200,0,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Add queue time + 30.000000 for(2150->2200)||Lot finishes traversing the route,R06YZAB06,2500,N,2150,P3T1GF40CBF-Z{YZ}{RYOWA},1091A07T21,A0801CB1087,FBGA-96UEF,,-1,096EF063,096EFYZ004,2487,30,AYZ096EF2003A,BGA185,145.935699,,N2A26-1
UTC2000,1019.627141,35,257,N,EF096067,,ZJP,2200,0,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Add queue time + 30.000000 for(2150->2200)||Lot finishes traversing the route,R06YZAB10,2500,N,2150,P3T1GF40CBF-Z{YZ}{RYOWA},1091A07T21,A0801CB1087,FBGA-96UEF,,-1,096EF063,096EFYZ004,2480,30,AYZ096EF2003A,BGA185,145.935699,,N2A08-2
UTC2000,1027.84994,35,257,N,EF096067,,ZJP,2200,0,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Add queue time + 30.000000 for(2150->2200)||Lot finishes traversing the route,R06YZAB14,2500,N,2150,P3T1GF40CBF-Z{YZ}{RYOWA},1091A07T21,A0801CB1087,FBGA-96UEF,,-1,096EF063,096EFYZ004,2500,30,AYZ096EF2003A,BGA185,145.935699,,N2A09-2
UTC2000,1027.84994,35,257,N,EF096067,,ZJP,2200,0,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Add queue time + 30.000000 for(2150->2200)||Lot finishes traversing the route,R06YZAB03,2500,N,2150,P3T1GF40CBF-Z{YZ}{RYOWA},1091A07T21,A0801CB1087,FBGA-96UEF,,-1,096EF063,096EFYZ004,2500,30,AYZ096EF2003A,BGA185,145.935699,,N2A26-1
UTC2000,1019.627141,35,257,N,EF096067,,ZJP,2200,0,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Add queue time + 30.000000 for(2150->2200)||Lot finishes traversing the route,R06YZAB07,2500,N,2150,P3T1GF40CBF-Z{YZ}{RYOWA},1091A07T21,A0801CB1087,FBGA-96UEF,,-1,096EF063,096EFYZ004,2480,30,AYZ096EF2003A,BGA185,145.935699,,N2A08-2
UTC2000,1003.592682,35,257,N,EF096067,,ZJP,2200,0,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Add queue time + 30.000000 for(2150->2200)||Lot finishes traversing the route,R06YZAB11,2500,N,2150,P3T1GF40CBF-Z{YZ}{RYOWA},1091A07T21,A0801CB1087,FBGA-96UEF,,-1,096EF063,096EFYZ004,2441,30,AYZ096EF2003A,BGA185,145.935699,,N2A11-6
UTC2000,1027.84994,35,257,N,EF096067,,ZJP,2200,0,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Add queue time + 30.000000 for(2150->2200)||Lot finishes traversing the route,R06YZAB15,2500,N,2150,P3T1GF40CBF-Z{YZ}{RYOWA},1091A07T21,A0801CB1087,FBGA-96UEF,,-1,096EF063,096EFYZ004,2500,30,AYZ096EF2003A,BGA185,145.935699,,
UTC2000,1027.84994,35,257,N,EF096067,,ZJP,2200,0,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Add queue time + 30.000000 for(2150->2200)||Lot finishes traversing the route,R06YZAB04,2500,N,2150,P3T1GF40CBF-Z{YZ}{RYOWA},1091A07T21,A0801CB1087,FBGA-96UEF,,-1,096EF063,096EFYZ004,2500,30,AYZ096EF2003A,BGA185,145.935699,,N2A26-1
UTC2000,1019.627141,35,257,N,EF096067,,ZJP,2200,0,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Add queue time + 30.000000 for(2150->2200)||Lot finishes traversing the route,R06YZAB08,2500,N,2150,P3T1GF40CBF-Z{YZ}{RYOWA},1091A07T21,A0801CB1087,FBGA-96UEF,,-1,096EF063,096EFYZ004,2480,30,AYZ096EF2003A,BGA185,145.935699,,N2A08-2
UTC2000,1003.181542,35,257,N,EF096067,,ZJP,2200,0,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Add queue time + 30.000000 for(2150->2200)||Lot finishes traversing the route,R06YZAB12,2500,N,2150,P3T1GF40CBF-Z{YZ}{RYOWA},1091A07T21,A0801CB1087,FBGA-96UEF,,-1,096EF063,096EFYZ004,2440,30,AYZ096EF2003A,BGA185,145.935699,,N2A11-6
UTC2000,1027.84994,35,257,N,EF096067,,ZJP,2200,0,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Add queue time + 30.000000 for(2150->2200)||Lot finishes traversing the route,R06YZAB16,2500,N,2150,P3T1GF40CBF-Z{YZ}{RYOWA},1091A07T21,A0801CB1087,FBGA-96UEF,,-1,096EF063,096EFYZ004,2500,30,AYZ096EF2003A,BGA185,145.935699,,
UTC1000S,936.540189,12,23,N,MF054022,,ICSI,2200,0,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Add queue time + 30.000000 for(2150->2200)||Lot finishes traversing the route,R05BUB905,4480,N,2150,IS42S16160J-6BLI-AS,1091A08C21,A0801CB1193,MINIBGA54J4U,,-1,054MF020,054MFBU009,4438,30,ABU054MF6001A,BGA192,284.32309,,N2A10-5
UTC1000S,939.705602,12,23,N,MF054022,,ICSI,2200,0,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Add queue time + 30.000000 for(2150->2200)||Lot finishes traversing the route,R05BUB902,4480,N,2150,IS42S16160J-6BLI-AS,1091A08C21,A0801CB1193,MINIBGA54J4U,,-1,054MF020,054MFBU009,4453,30,ABU054MF6001A,BGA192,284.32309,,N2A10-5
UTC1000S,939.916629,12,23,N,MF054022,,ICSI,2200,0,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Add queue time + 30.000000 for(2150->2200)||Lot finishes traversing the route,R05BUB906,4480,N,2150,IS42S16160J-6BLI-AS,1091A08C21,A0801CB1193,MINIBGA54J4U,,-1,054MF020,054MFBU009,4454,30,ABU054MF6001A,BGA192,284.32309,,N2A25-3
