pkg_type,process_id,version,detail_id,remark,
	T,	096EL081       ,	 C,	S22000102,	A0801CB1307                             ,
	T,	008YQ170       ,	 G,	S22000102,	A0803CB1050(KNS)                        ,
	T,	084UC193       ,	 F,	S22000102,	A0801CB1250(UTC)                        ,
	T,	084UC193       ,	 F,	S22000102,	A0803CB1250(KNS)                        ,
	T,	008YQ133       ,	 F,	S22000102,	A0803CB1228(KNS)                        ,
	T,	048MA351       ,	 F,	S22000102,	A0803CB1097(KNS)                        ,
	T,	096EL013       ,	 K,	S22000102,	A0803CB1080(KNS)                        ,
	T,	096EL009       ,	 I,	S22000102,	A0803CB1080(KNS)                        ,
	T,	084UC200       ,	 E,	S22000102,	A0803CB1017 (KNS)                       ,
	T,	008DR011       ,	 E,	S22000102,	A0803CB1198(KNS)                        ,
	T,	008FG011       ,	 C,	S22000102,	A0803CB1278(KNS)                        ,
	T,	096EI008       ,	 N,	S22000102,	A0803CB1012 (KNS)                       ,
	T,	008YQ092       ,	 O,	S22000102,	A0803CB0974(KNS)                        ,
	T,	008YM173       ,	 A,	S22000102,	A0803CB1069(KNS)                        ,
	T,	048MA324       ,	 E,	S22000102,	A0803CB1097(KNS)                        ,
	T,	048MA360       ,	 B,	S22000102,	A0803CB1097(KNS)                        ,
	T,	008YQ132       ,	 L,	S22000102,	A0803CB1228(KNS)                        ,
	T,	008Y6089       ,	 E,	S22000102,	A0803CB0926(KNS)                        ,
	T,	048TP091ENG    ,	 E,	S22000102,	A0801CB1173(UTC)                        ,
	T,	024MA084       ,	 C,	S22000102,	A0801CB0373                             ,
	T,	064MR023       ,	 H,	S22000102,	A0801CB0746(UTC)                        ,
	T,	064MR023       ,	 H,	S22000102,	A0803CB0746(KNS)                        ,
	T,	064MR026       ,	 F,	S22000102,	A0801CB0746(UTC)                        ,
	T,	064MR026       ,	 F,	S22000102,	A0803CB0746(KNS)                        ,
	T,	048TP076       ,	 G,	S22000102,	A0801CB0831 (UTC)                       ,
	T,	048TP076       ,	 G,	S22000102,	A0803CB0831 (KNS)                       ,
	T,	048TP090ENG    ,	 F,	S22000102,	A0801CB1173(UTC)                        ,
	T,	008Y6087       ,	 G,	S22000102,	A0803CB0926(KNS)                        ,
	T,	052XY004       ,	 C,	S22000102,	A0801CB0572(UTC)                        ,
	T,	024XJ001       ,	 I,	S22000102,	A0801CB0700                             ,
	T,	024XJ001       ,	 I,	S32000102,	A0801CB0700(UTC)                        ,
	T,	024MA145       ,	 E,	S22000102,	A0801CB0700(UTC)                        ,
	T,	016D5016ENG    ,	 N,	S22000102,	A0801CB0934(UTC)                        ,
	T,	016D5016ENG    ,	 N,	S22000102,	A0803CB0934(KNS)                        ,
	T,	048TP094       ,	 K,	S22000102,	A0801CB1000 (UTC)                       ,
	T,	048TP094       ,	 K,	S22000102,	A0803CB1000 (KNS)                       ,
	T,	008Y6091       ,	 G,	S22000102,	A0803CB0926(KNS)                        ,
	T,	016D5012       ,	 O,	S22000102,	A0801CB0934(UTC)                        ,
	T,	016D5012       ,	 O,	S22000102,	A0803CB0934(KNS)                        ,
	T,	024MA213       ,	 C,	S22000102,	A0801CB1057(UTC)                        ,
	T,	086TA127       ,	 E,	S22000102,	A0801CB0462(UTC)                        ,
