process_id,Oper,master_desc,detail_desc,detail_id,remark,
	000IA003       ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	C                                       ,
	000IA003       ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	000IA003       ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	000IA009       ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	999999                                  ,
	000IA009       ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	Y                                       ,
	000IA009       ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	000IA009       ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	000IA010       ,	2022,	PTN No                                  ,	                                                  ,	O20220198,	12                                      ,
	000IA010       ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	999999                                  ,
	000IA010       ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	C                                       ,
	000IA010       ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	000IA010       ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	000IA031       ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	999999                                  ,
	000IA031       ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	Y                                       ,
	000IA031       ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	000IA031       ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	000IA033       ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	999999                                  ,
	000IA033       ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	Y                                       ,
	000IA033       ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	000IA033       ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	000IA034       ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	999999                                  ,
	000IA034       ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	Y                                       ,
	000IA034       ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	000IA034       ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	000IA039       ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	999999                                  ,
	000IA039       ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	Y                                       ,
	000IA039       ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	000IA039       ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	000IA040       ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	999999                                  ,
	000IA040       ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	Y                                       ,
	000IA045       ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	999999                                  ,
	000IA045       ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	Y                                       ,
	000IA058       ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	999999                                  ,
	000IA058       ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	Y                                       ,
	000IA058       ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	000IA058       ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	000IA066       ,	2022,	PTN No                                  ,	                                                  ,	O20220198,	12                                      ,
	000IA066       ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	999999                                  ,
	000IA066       ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	X                                       ,
	000IA068       ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	999999                                  ,
