ENTITY,MODEL,STATUS,LOT#,OPER,PRODUCT,BOND ID,OUTPLAN,IN TIME,CUST,PIN_PKG,WIP,PM,Lot Part Id,Lot Urgent Code,Last Wip Lot,Last Pin Package,Last Cust,Last bd id,Last Part ID,G.UPH,wip_outplan_time,SETTING OPER
BB866,MAXUM,IN-REPAIR,R07ABEB02,2200,008YQAB112,AAB008YQ3012A,22-02-16 12:02:25,22-02-16 07:49,WINBOND,STDFN08YQ3AW,5600,,,,R06ABCA06,STDFN08YQ3AW,WINBOND,AAB008YQ3012A,1091A07T21,426.6757,22-02-16 12:02,2200
BB867,MAXUM,RUNNING,R07ABG406,2200,008YQAB010,AAB008YQ2001B,22-02-16 09:20,22-02-16 05:07,WINBOND,DFN-08YQ2A,4320,,1091A07T21,,R07ABG310,DFN-08YQ2A,WINBOND,AAB008YQ2001B,1091A07T21,1021.4778,22-02-16 09:20,2200
BB868,MAXUM,IN-REPAIR,R07ASB709,2200,096ELAS001,AAS096EL1002A,22-02-16 16:44:19,22-02-16 07:49,EliteMT,FBGA-96UEL-3,2980,,,,R07ASAH16,FBGA-96UEL-3,EliteMT,AAS096EL1002A,1091G08PA1,152.4326,22-02-16 16:44,2200
BB869,MAXUM,SETUP,,,,AAB008YQ3013A,22-02-16 09:00,22-02-16 07:36,,,,,,,R80CME501,STDFN08YQ3AW,ENG,AAB008YQ3013A,1091A07T21,523.4596,,3200
BB870,MAXUM,WAIT-SETUP,R07ABLW02,2200,008YQAB112,AAB008YQ3012A,22-02-16 17:00:06,22-02-16 06:19,WINBOND,STDFN08YQ3AW,5600,,1091A07T21,,R07ABEA10,STDFN08YQ3AW,WINBOND,AAB008YQ3012A,1091A07T21,426.6757,22-02-16 17:00,2200
BB871,MAXUM,RUNNING,R07ABEB01,2200,008YQAB112,AAB008YQ3012A,22-02-16 13:17,22-02-16 00:10,WINBOND,STDFN08YQ3AW,5600,,,,R07ABEA03,STDFN08YQ3AW,WINBOND,AAB008YQ3012A,1091A07T21,426.6757,22-02-16 13:17,2200
BB872,MAXUM,RUNNING,R07ASB501,2200,096ELAS001,AAS096EL1002A,22-02-16 13:01,22-02-15 17:20,EliteMT,FBGA-96UEL-3,3000,,1091G08PA1,,R07ASAG17,FBGA-96UEL-3,EliteMT,AAS096EL1002A,1091G08PA1,152.4326,22-02-16 13:01,2200
BB873,MAXUM,RUNNING,R07ABDA09,2200,008YQAB104,AAB008YQ3004A,22-02-16 10:37,22-02-15 22:55,WINBOND,STDFN08YQ3AW,5600,,1091A07T21,,R05ABHE04,STDFN08YQ3AW,WINBOND,AAB008YQ3013A,1091A07T21,478.894,22-02-16 10:37,2200
BB874,MAXUM,RUNNING,R07ABEA05,2200,008YQAB112,AAB008YQ3012A,22-02-16 09:59,22-02-15 20:52,WINBOND,STDFN08YQ3AW,5600,,1091A07T21,,R06ABCA04,STDFN08YQ3AW,WINBOND,AAB008YQ3012A,1091A07T21,426.6757,22-02-16 09:59,2200
BB875,MAXUM,RUNNING,R07ASB521,2200,096ELAS001,AAS096EL1002A,22-02-16 13:22,22-02-15 17:49,EliteMT,FBGA-96UEL-3,2980,,1091G08PA1,,R07ASAG19,FBGA-96UEL-3,EliteMT,AAS096EL1002A,1091G08PA1,152.4326,22-02-16 13:22,2200
BB876,MAXUM,RUNNING,R07ASB511,2200,096ELAS001,AAS096EL1002A,22-02-16 13:00,22-02-15 17:56,EliteMT,FBGA-96UEL-3,2905,,1091G08PA1,,R07ASAY01,FBGA-96UEL-3,EliteMT,AAS096EL1002A,1091G08PA1,152.4326,22-02-16 13:00,2200
BB877,MAXUM,IDLE,,,,ABW064AE1011A,,22-02-15 20:01,,,,,,,R05BWD209,QFN-64AE1,AKM,ABW064AE1011A,1091A07C21,173.7568,,2200
BB878,MAXUM,IDLE,,,,AAS096EL1002A,,22-02-16 07:58,,,,,,,R07ASB514,FBGA-96UEL-3,EliteMT,AAS096EL1002A,1091G08PA1,152.4326,,2200
BB879,MAXUM,WAIT-REPAIR,R07ASB516,2200,096ELAS001,AAS096EL1002A,22-02-17 01:25:34,22-02-16 07:56,EliteMT,FBGA-96UEL-3,2952,,1091G08PA1,,R07ASAJ10,FBGA-96UEL-3,EliteMT,AAS096EL1002A,1091G08PA1,152.4326,22-02-17 01:25,2200
BB880,MAXUM,IDLE,,,,AAB008YQ3012A,,22-02-16 07:57,,,,,,,R07ABEA02,STDFN08YQ3AW,WINBOND,AAB008YQ3012A,1091A07T21,426.6757,,2200
BB881,MAXUM,RUNNING,R07ASB914,2200,096ELAS001,AAS096EL1002A,22-02-16 19:57,22-02-16 00:24,EliteMT,FBGA-96UEL-3,2980,02/16/2022 MP,1091G08PA1,,R07ASAJ16,FBGA-96UEL-3,EliteMT,AAS096EL1002A,1091G08PA1,152.4326,22-02-16 19:57,2200
BB882,MAXUM,RUNNING,R07ASB804,2200,096ELAS001,AAS096EL1002A,22-02-16 18:04,22-02-15 22:23,EliteMT,FBGA-96UEL-3,3000,02/17/2022 MP,,,R07ASAJ19,FBGA-96UEL-3,EliteMT,AAS096EL1002A,1091G08PA1,152.4326,22-02-16 18:04,2200
BB883,MAXUM,IDLE,,,,AAS048N01003A,,22-02-16 01:27,,,,02/18/2022 MP,,,R07ASBP04,VFBGA48KEU,EliteMT,AAS048N01003A,1091G08PA4,312.039,,2200
BB884,MAXUM,RUNNING,R07VGA517,2200,008YQVG006,ABU008YQ2002A,22-02-16 12:06,22-02-16 07:13,ISSI-VG,DFN-08YQ2A,4320,02/19/2022 MP,1091A09C41,,R07VGA511,DFN-08YQ2A,ISSI-VG,ABU008YQ2002A,1091A09C41,885.7602,22-02-16 12:06,2200
BB885,MAXUM,RUNNING,R07ASB915,2200,096ELAS001,AAS096EL1002A,22-02-16 21:22,22-02-16 01:49,EliteMT,FBGA-96UEL-3,2980,02/20/2022 MP,1091G08PA1,,R07ASAG23,FBGA-96UEL-3,EliteMT,AAS096EL1002A,1091G08PA1,152.4326,22-02-16 21:22,2200
BB886,MAXUM,RUNNING,R07ASB909,2200,096ELAS001,AAS096EL1002A,22-02-16 22:06,22-02-16 02:48,EliteMT,FBGA-96UEL-3,2940,02/21/2022 MP,1091G08PA1,,R07ASAJ15,FBGA-96UEL-3,EliteMT,AAS096EL1002A,1091G08PA1,152.4326,22-02-16 22:06,2200
