el_key,el_customer,el_entity_model,el_entity_oper,el_entity_group,el_check_value,el_action
RESTRAINED-ENTITY,MXIC,2100SD*,3130,BA2*,6140*{A},R
RESTRAINED-ENTITY,MXIC,2100SD*,2130,BA2*,6732*{A},R
RESTRAINED-ENTITY,MXIC,2100SD*,3130,BA2*,6140*{SLP},R
RESTRAINED-ENTITY,MXIC,2100SD*,3130,BA2*,6732*{A},R
RESTRAINED-ENTITY,MXIC,2100SD*,2130,BA2*,6732*{SLP},R
RESTRAINED-ENTITY,MXIC,2100SD*,3130,BA2*,6732*{SLP},R
RESTRAINED-ENTITY,MXIC,2100SD*,3130,BA2*,6732*{TV1},R
RESTRAINED-ENTITY,MXIC,2100SD*,2130,BA2*,6140*{A},R
RESTRAINED-ENTITY,MXIC,2100SD*,2130,BA2*,6140*{SLP},R
RESTRAINED-ENTITY,ICSI,DB700*,2130,BA7*,IS43DR16128A*,R
RESTRAINED-ENTITY,ICSI,2100SD*,2130,BA2*,IS46DR16128A*,R
RESTRAINED-ENTITY,ICSI,2100HSI*,2130,BA1*,IS43DR16128A*,R
RESTRAINED-ENTITY,ICSI,2100SD*,2130,BA2*,IS43DR16128A*,R
RESTRAINED-ENTITY,ICSI,DB700*,2130,BA7*,IS46DR16128A*,R
RESTRAINED-ENTITY,ICSI,2100HSI*,2130,BA1*,IS46DR16128A*,R
RESTRAINED-ENTITY,ENG,DFG8761,2010,APW10,60078320{XX-T}-ENG,R
RESTRAINED-ENTITY,ENG,DFG8761,2010,APW10,60078502{XX}-ENG,R
RESTRAINED-ENTITY,ENG,DFG8761,2010,APW10,60078745{XX}-ENG,R
RESTRAINED-ENTITY,A-DATA,DFG8761,2010,APW10,60079010{XX},R
RESTRAINED-ENTITY,ENG,DFG8761,2010,APW10,6134-FAI-Ag-ENG,R
RESTRAINED-ENTITY,MXIC,DFG8761,2010,APW10,6134I-D0XNGIYN9999{Au},R
RESTRAINED-ENTITY,MXIC,DFG8761,2010,APW10,6140L-24XD05IYN999{Die 30um},R
RESTRAINED-ENTITY,MXIC,DFG8761,2010,APW10,6140L-24XD05IYN999{Die 40um},R
RESTRAINED-ENTITY,ENG,DFG8761,2010,APW10,6141-TV2 6732 SUB 8  WAFER-ENG,R
RESTRAINED-ENTITY,MXIC,DFG8761,2010,APW10,6141L-24XD08IYN999-OLD,R
RESTRAINED-ENTITY,MXIC,DFG8761,2010,APW10,6141L-24XD08IYN999{OLD},R
RESTRAINED-ENTITY,MXIC,DFG8761,2010,APW10,6306N-64CSP,R
RESTRAINED-ENTITY,MXIC,DFG8761,2010,APW10,6732G-24XD08IYNWEN{6140 3mil},R
RESTRAINED-ENTITY,MXIC,DFG8761,2010,APW10,8030-6134.4(0),R
RESTRAINED-ENTITY,MXIC,DFG8761,2010,APW10,8030-6134.S4(0),R
RESTRAINED-ENTITY,MXIC,DFG8761,2010,APW10,8030-6134.S5(0),R
RESTRAINED-ENTITY,MXIC,DFG8761,2010,APW10,9116X01-48TSOP,R
RESTRAINED-ENTITY,ENG,DFG8761,2010,APW10,B17A SSD ODP-XOENG,R
RESTRAINED-ENTITY,ENG,DFG8761,2010,APW10,B17A SSD QDP-ENG,R
RESTRAINED-ENTITY,UNIC2,DFG8761,2010,APW10,B17A1-TAEOJB10012B,R
RESTRAINED-ENTITY,ENG,DFG8761,2010,APW10,B47R-55um-0.21mm-ENG,R
RESTRAINED-ENTITY,MTI,DFG8761,2010,APW10,B74AX8 WP4 137091,R
RESTRAINED-ENTITY,ENG,DFG8761,2010,APW10,BGA132 Bics5 512Gb ODP-ENG,R
RESTRAINED-ENTITY,PHISON,DFG8761,2010,APW10,BGA132 N28A 1Tb ODP,R
RESTRAINED-ENTITY,Phison,RAD3500,2005,AT2*,SUBMATWNV351,R
RESTRAINED-ENTITY,Phison,RAD3500,2005,AT2*,SUBMATWNV366,R
RESTRAINED-ENTITY,Phison,RAD3500,2005,AT2*,SUBMATWNV367,R
RESTRAINED-ENTITY,Phison,RAD3510,2005,AT5*,SUBMATWNV352,A
