pkg_type,process_id,version,detail_id,remark,
	T,	168RM007       ,	 B,	S22000102,	A0803CB1207(KNS)                        ,
	T,	060NL025       ,	 A,	S22000102,	A0801CB1381(UTC)                        ,
	T,	060NL025       ,	 A,	S22000102,	A0803CB1381(KNS)                        ,
	T,	078EA001       ,	 E,	S22000102,	A0801CB1021(UTC)                        ,
	T,	048MW009       ,	 E,	S22000102,	A0801CB0248                             ,
	T,	096EA007       ,	 E,	S22000102,	A0801CB1206(UTC)                        ,
	T,	096EA007       ,	 E,	S22000102,	A0803CB1206(KNS)                        ,
	T,	096EA007       ,	 E,	S32000102,	A0801CB1099(UTC)                        ,
	T,	090NC061       ,	 G,	S22000102,	A0801CB0622                             ,
	T,	054NB037       ,	 F,	S22000102,	A0801CB0248                             ,
	T,	048MW001       ,	 V,	S22000102,	A0801CB0248                             ,
	T,	048MA366       ,	 D,	S22000102,	A0801CB1057                             ,
	T,	048MW010       ,	 C,	S22000102,	A0801CB0248                             ,
	T,	036AB062       ,	 G,	S22000102,	A0803CB0430                             ,
	T,	066TN178       ,	 D,	S22000102,	A0801CB1293(UTC)                        ,
	T,	066TN178       ,	 D,	S22000102,	A0803CB1293(KNS)                        ,
	T,	084UC156       ,	 H,	S22000102,	A0801CB1043                             ,
	T,	054TS043       ,	 D,	S22000102,	A0801CB0960 (UTC)                       ,
	T,	054TS043       ,	 D,	S32000102,	A0801CB0960(UTC)                        ,
	T,	134KM001       ,	 D,	S22000102,	A0801CB1106(UTC)                        ,
	T,	134KM001       ,	 D,	S32000102,	A0801CB1106 (UTC)                       ,
	T,	0415L018       ,	 A,	S22000102,	A0803CB1253(KNS)                        ,
	T,	0225S001       ,	 F,	S22000102,	A0803CB1028(KNS)                        ,
	T,	0442J026       ,	 A,	S22000102,	A0803CB1181(KNS)                        ,
	T,	0442J026       ,	 A,	S32000102,	A0803CB1181(KNS)                        ,
	T,	0442J027       ,	 B,	S22000102,	A0803CB1181(KNS)                        ,
	T,	0442J027       ,	 B,	S32000102,	A0803CB1181(KNS)                        ,
	T,	048MA349       ,	 D,	S22000102,	A0801CB1057(UTC)                        ,
	T,	054TS034       ,	 C,	S22000102,	A0801CB0971 (UTC)                       ,
	T,	048TG077       ,	 B,	S22000102,	A0801CB0070                             ,
	T,	078U9030       ,	 F,	S22000102,	A0801CB0823 (UTC)                       ,
	T,	078U9030       ,	 F,	S22000102,	A0803CB0823 (KNS)                       ,
	T,	096EF053       ,	 G,	S22000102,	A0801CB1265(UTC)                        ,
	T,	096EF053       ,	 G,	S22000102,	A0803CB1265(KNS)                        ,
	T,	096EC009       ,	 Q,	S22000102,	A0801CB0824 (UTC)                       ,
	T,	096EC009       ,	 Q,	S22000102,	A0803CB0824 (KNS)                       ,
	T,	048TW502       ,	 E,	S22000102,	A0801CB0731                             ,
	T,	096EC002       ,	 Y,	S22000102,	A0801CB0644 (UTC)                       ,
	T,	096EC002       ,	 Y,	S22000102,	A0803CB0644 (KNS)                       ,
	T,	048TW497       ,	 G,	S22000102,	A0801CB1151(UTC)                        ,
	T,	078U9018       ,	 K,	S22000102,	A0801CB0643 (UTC)                       ,
