,Unnamed: 0,bd_id_1,bd_id_2,end_time,entity,jobcode,lot_num_1,lot_num_2,number,start_time,start_time_trans,end_time_trans,CR,start_time_adj,end_time_adj
93,93,AZA0086A1004A,AZA0086A1012A,1237.619015,BB807,MC,R12ZAAB01,R12ZAAG04,BB807_4,1153.619015,2022-04-03 03:18:37,2022-04-03 04:42:37,7521.08,2022-04-03 03:18:37,2022-04-03 04:42:37
94,94,AAS096EL1009B,AAW008Y62010C,1304.267266,BB811,"CWN,SC",R14ASAG01,R14AWAK07,BB811_3,1184.267266,2022-04-03 03:49:16,2022-04-03 05:49:16,7521.9,2022-04-03 03:49:16,2022-04-03 05:49:16
95,95,AAB008YQ3020A,AAS096EL1016A,294.624915,BB814,"CWN,SC",R13ABJP01,R14ASBC02,BB814_2,174.624915,2022-04-02 10:59:37,2022-04-02 12:59:37,7541.07,2022-04-02 10:59:37,2022-04-02 12:59:37
96,96,AAS162KE1008A,AAS084CC2015B,84.0,BB825,MC,R13ASC801,R14ASBZ01,BB825_1,0.0,2022-04-02 08:05:00,2022-04-02 09:29:00,7681.0,2022-04-02 08:05:00,2022-04-02 09:29:00
97,97,AAW008Y62029A,AAB008YQ2022A,-1098.0,BB828,MC,R13AWBN02,R14ABDM05,BB828_1,-1182.0,2022-04-01 12:23:00,2022-04-01 13:47:00,7529.83,2022-04-01 12:23:00,2022-04-01 13:47:00
98,98,AAB008YQ3021A,AZA0086A1003A,1185.62697,BB832,"CWN,SC",R14ABDB01,R12ZAA701,BB832_2,1065.62697,2022-04-03 01:50:37,2022-04-03 03:50:37,7521.08,2022-04-03 01:50:37,2022-04-03 03:50:37
99,99,AAS008YQ2016A,AAS084CC2015B,1064.791609,BB834,"CWN,SC",R14ASAY05,R14ASC101,BB834_3,944.791609,2022-04-02 23:49:47,2022-04-03 01:49:47,7543.93,2022-04-02 23:49:47,2022-04-03 01:49:47
100,100,AAW008YM2004A,AAS096EL1016A,-159.0,BB841,MC,R13AWBT16,R14ASB202,BB841_1,-243.0,2022-04-02 04:02:00,2022-04-02 05:26:00,7535.07,2022-04-02 04:02:00,2022-04-02 05:26:00
101,101,AAW008YM2004A,AAS096EL1016A,-159.0,BB844,MC,R13AWBT18,R14ASB203,BB844_1,-243.0,2022-04-02 04:02:00,2022-04-02 05:26:00,7535.07,2022-04-02 04:02:00,2022-04-02 05:26:00
102,102,AAS008YQ2016A,AZA0086A1003A,734.219796,BB847,"CWN,SC",R14ASAU07,R12ZAAA01,BB847_2,614.219796,2022-04-02 18:19:13,2022-04-02 20:19:13,7521.08,2022-04-02 18:19:13,2022-04-02 20:19:13
103,103,AAB008YQ3004A,AAB008YQ2022A,120.0,BB851,"CWN,SC",,R14ABDM04,BB851_1,0.0,2022-04-02 08:05:00,2022-04-02 10:05:00,7529.83,2022-04-02 08:05:00,2022-04-02 10:05:00
104,104,AAB008YQ2022A,ABW072AF1004B,815.593189,BB851,"CWN,SC",R14ABDL13,R13BWH908,BB851_4,695.593189,2022-04-02 19:40:35,2022-04-02 21:40:35,7521.519999999999,2022-04-02 19:40:35,2022-04-02 21:40:35
105,105,AAB008YQ3013A,AZA0086A1013A,921.939769,BB853,"CWN,SC",R13ABL901,R12ZAAF01,BB853_3,801.939769,2022-04-02 21:26:56,2022-04-02 23:26:56,7521.08,2022-04-02 21:26:56,2022-04-02 23:26:56
