route,wlot_lot_number,wlot_crt_dat_al_1,pin_package,wlot_prod,wlot_qty_1,wlot_qty_2,wlot_oper,wlot_hold,wlot_mvin_perfmd,bd_id,urgent_code,sub_lot,wb_location,automotive,package_id,CR,super_hot_run_code,last_WB_entity,wlot_last_trans,WB_move_in_entity
BGA174,R03GAA308,FIDELIX,MBGA48J2U,048MAGA037,12238,0,2200,N,Y,AGA048MA7001A,,12,,,FMP0817CA0-H70I{ZDT},68.33,N,DA,2022/2/6 06:45,BB920
BGA174,R03GAA312,FIDELIX,MBGA48J2U,048MAGA037,4711,0,2200,N,Y,AGA048MA7001A,,12,,,FMP0817CA0-H70I{ZDT},68.33,N,DA,2022/2/7 21:59,BB858
BGA174,R03GAA310,FIDELIX,MBGA48J2U,048MAGA037,12184,0,2200,N,Y,AGA048MA7001A,,12,,,FMP0817CA0-H70I{ZDT},68.33,N,DA,2022/2/6 11:45,BB866
BGA174,R03GAA307,FIDELIX,MBGA48J2U,048MAGA037,12240,0,2200,N,Y,AGA048MA7001A,,12,,,FMP0817CA0-H70I{ZDT},68.33,N,DA,2022/2/6 11:01,BB906
BGA174,R03GAA311,FIDELIX,MBGA48J2U,048MAGA037,12262,0,2200,N,Y,AGA048MA7001A,,12,,,FMP0817CA0-H70I{ZDT},68.33,N,DA,2022/2/6 11:33,BB909
BGA174,R03GAA301,FIDELIX,MBGA48J2U,048MAGA037,12267,0,2230,N,N,AGA048MA7001A,,12,,,FMP0817CA0-H70I{ZDT},68.33,N,BB858,2022/2/8 07:00,
BGA174,R03GAA305,FIDELIX,MBGA48J2U,048MAGA037,12299,0,2230,N,N,AGA048MA7001A,,12,,,FMP0817CA0-H70I{ZDT},68.33,N,BB866,2022/2/8 07:00,
BGA174,R03GAA309,FIDELIX,MBGA48J2U,048MAGA037,12220,0,2230,N,N,AGA048MA7001A,,12,,,FMP0817CA0-H70I{ZDT},68.33,N,BB906,2022/2/8 03:14,
BGA174,R03GAA306,FIDELIX,MBGA48J2U,048MAGA037,12293,0,2230,N,N,AGA048MA7001A,,12,,,FMP0817CA0-H70I{ZDT},68.33,N,BB909,2022/2/8 07:00,
BGA174,R03GAA303,FIDELIX,MBGA48J2U,048MAGA037,12266,0,2230,N,N,AGA048MA7001A,,12,,,FMP0817CA0-H70I{ZDT},68.33,N,BB858,2022/2/8 03:14,
BGA174,R03GAA302,FIDELIX,MBGA48J2U,048MAGA037,12263,0,2300,N,Y,AGA048MA7001A,,12,,,FMP0817CA0-H70I{ZDT},68.33,N,BB909,2022/2/8 07:19,
BGA174,R03GAA204,FIDELIX,MBGA48J2U,048MAGA037,12210,0,2320,N,N,AGA048MA7001A,,5,,,FMP0817CA0-H70I{ZDT},68.33,N,BB805,2022/2/8 07:18,
BGA174,R03GAA202,FIDELIX,MBGA48J2U,048MAGA037,12270,0,2320,N,N,AGA048MA7001A,,5,,,FMP0817CA0-H70I{ZDT},68.33,N,BB805,2022/2/8 06:56,
BGA174,R03GAA203,FIDELIX,MBGA48J2U,048MAGA037,12320,0,2320,N,N,AGA048MA7001A,,5,,,FMP0817CA0-H70I{ZDT},68.33,N,BB920,2022/2/8 07:01,
BGA174,R04GAA102,FIDELIX,VFBGA134B4U,134N9GA004,4929,0,2330,N,N,AGA134N91003A,P,2,,,AS4C128M16MD2A-25BIN,68.33,N,BB548,2022/2/7 19:02,
BGA174,R04GAA101,FIDELIX,VFBGA134B4U,134N9GA004,5240,0,2405,N,N,AGA134N91003A,P,2,,,AS4C128M16MD2A-25BIN,68.33,N,BB548,2022/2/8 02:35,
BGA174,R03GAA201,FIDELIX,MBGA48J2U,048MAGA037,19563,0,2480,N,N,AGA048MA7001A,,5,,,FMP0817CA0-H70I{ZDT},68.33,N,BB805,2022/2/7 21:11,
BGA185,R07YZA2,ZJP,FBGA-96UEF,096EFYZ004,4,9855,2000,Y,N,AYZ096EF2003A,,4,,,P3T1GF40CBF-Z{YZ}{RYOWA},67.9,N,,2022/2/7 23:06,
BGA185,R07YZA8,ZJP,FBGA-96UEF,096EFYZ004,7,16836,2020,N,N,AYZ096EF2003A,,7,,,P3T1GF40CBF-Z{YZ}{RYOWA},67.85,N,,2022/2/8 05:30,
BGA185,R07YZA5,ZJP,FBGA-96UEF,096EFYZ004,1,2157,2020,N,N,AYZ096EF2003A,,1,,,P3T1GF40CBF-Z{YZ}{RYOWA},67.85,N,,2022/2/8 00:55,
BGA185,R07YZA6,ZJP,FBGA-96UEF,096EFYZ004,2,4849,2020,N,N,AYZ096EF2003A,,2,,,P3T1GF40CBF-Z{YZ}{RYOWA},67.85,N,,2022/2/8 03:08,
BGA185,R07YZA1,ZJP,FBGA-96UEF,096EFYZ004,21,51383,2030,N,Y,AYZ096EF2003A,,21,,,P3T1GF40CBF-Z{YZ}{RYOWA},67.85,N,,2022/2/8 06:52,
BGA185,R07YZA3,ZJP,FBGA-96UEF,096EFYZ004,25,62666,2040,N,N,AYZ096EF2003A,,26,,,P3T1GF40CBF-Z{YZ}{RYOWA},67.85,N,,2022/2/8 06:51,
BGA185,R06YZAB21,ZJP,FBGA-96UEF,096EFYZ004,2500,0,2070,N,Y,AYZ096EF2003A,,25,,,P3T1GF40CBF-Z{YZ}{RYOWA},68.14,N,,2022/2/6 23:26,
BGA185,R06YZAB25,ZJP,FBGA-96UEF,096EFYZ004,497,0,2070,N,Y,AYZ096EF2003A,,25,,,P3T1GF40CBF-Z{YZ}{RYOWA},68.14,N,,2022/2/6 23:26,
BGA185,R06YZAB22,ZJP,FBGA-96UEF,096EFYZ004,2500,0,2070,N,Y,AYZ096EF2003A,,25,,,P3T1GF40CBF-Z{YZ}{RYOWA},68.14,N,,2022/2/6 23:26,
BGA185,R06YZAB19,ZJP,FBGA-96UEF,096EFYZ004,2500,0,2070,N,Y,AYZ096EF2003A,,25,,,P3T1GF40CBF-Z{YZ}{RYOWA},68.14,N,,2022/2/6 23:26,
BGA185,R06YZAB23,ZJP,FBGA-96UEF,096EFYZ004,2500,0,2070,N,Y,AYZ096EF2003A,,25,,,P3T1GF40CBF-Z{YZ}{RYOWA},68.14,N,,2022/2/6 23:26,
BGA185,R06YZAB,ZJP,FBGA-96UEF,096EFYZ004,0,25,2070,N,Y,AYZ096EF2003A,,25,,,P3T1GF40CBF-Z{YZ}{RYOWA},68.14,N,,2022/2/6 23:26,
BGA185,R06YZAB20,ZJP,FBGA-96UEF,096EFYZ004,2500,0,2070,N,Y,AYZ096EF2003A,,25,,,P3T1GF40CBF-Z{YZ}{RYOWA},68.14,N,,2022/2/6 23:26,
BGA185,R06YZAB24,ZJP,FBGA-96UEF,096EFYZ004,2500,0,2070,N,Y,AYZ096EF2003A,,25,,,P3T1GF40CBF-Z{YZ}{RYOWA},68.14,N,,2022/2/6 23:26,
BGA185,R06YZAB17,ZJP,FBGA-96UEF,096EFYZ004,2500,0,2080,N,N,AYZ096EF2003A,,25,,,P3T1GF40CBF-Z{YZ}{RYOWA},68.06,N,DA,2022/2/8 05:28,
BGA185,R06YZAB18,ZJP,FBGA-96UEF,096EFYZ004,2483,0,2080,N,N,AYZ096EF2003A,,25,,,P3T1GF40CBF-Z{YZ}{RYOWA},68.06,N,DA,2022/2/8 06:47,
