code_flag,gw_part_no,roll_length
N,1091A08C21,3000.000
N,1091A08C21,3000.000
N,1091A08C21,3000.000
N,1091A08C21,3000.000
N,1091A08C21,3000.000
N,1091A08C21,3000.000
N,1091A08C21,3000.000
N,1091A08C21,3000.000
N,1091A08C21,3000.000
N,1091A08C21,3000.000
R,1091A08C21,2017.561
A,1091A06T21,0.000
R,1091A08C41,2885.054
A,1091A07T41,2917.069
A,1091A08T41,1.000
R,1091A08C21,314.414
A,1091A06T41,444.858
A,1091A06C21,0.000
A,1091A08T41,0.000
A,1091A07C21,0.000
R,1091A08C21,1382.544
A,1091A06C41,0.000
F,1091A08T41,1.389
N,1091A06T21,3000.000
N,1091A06C41,3000.000
N,1091A06C41,3000.000
N,1091A06C41,3000.000
N,1091A06C41,3000.000
N,1091A06C41,3000.000
N,1091A06C41,3000.000
N,1091A06C41,3000.000
N,1091A06C41,3000.000
N,1091A06C41,3000.000
N,1091A06C41,3000.000
N,1091A06C41,3000.000
N,1091A06C41,3000.000
N,1091A06C41,3000.000
N,1091A06C41,3000.000
N,1091A06C41,3000.000
N,1091A06C41,3000.000
N,1091A06C41,3000.000
N,1091A06C41,3000.000
N,1091A06C41,3000.000
A,1091A06T21,349.677
N,1091G08PA1,1000.000
N,1091G08PA1,1000.000
N,1091G08PA1,1000.000
N,1091G08PA1,1000.000
N,1091G08PA1,1000.000
N,1091G08PA1,1000.000
N,1091G08PA1,1000.000
N,1091G08PA1,1000.000
N,1091G08PA1,1000.000
N,1091G08PA1,1000.000
N,1091G08PA1,1000.000
A,1091A06T21,51.151
A,1091A06T21,0.000
A,1091A08T41,0.000
F,1091A09C21,48.947
A,1091A08T41,67.826
A,1091A06C21,0.000
R,1091A08C21,2607.836
F,1091A09C21,51.748
O,1091A06C21,2677.818
A,1091A06T21,2517.913
A,1091A08T41,0.000
A,1091A07T21,0.058
R,1091A09C41,1973.463
F,1091A06C41,76.036
A,1091A08T41,0.000
N,1091A07T21,3000.000
F,1091A06C41,364.201
A,1091A06T21,0.000
F,1091A10C41,21.887
A,1091A06C41,0.000
A,1091A07T21,0.000
F,1091A09C41,11.800
N,1091G08PA1,1000.000
N,1091G08PA1,1000.000
N,1091G08PA1,1000.000
N,1091G08PA1,1000.000
N,1091G08PA1,1000.000
N,1091G08PA1,1000.000
N,1091G08PA1,1000.000
