¦C¼Æ,bd_id,oper,model,remark,trans_date,trans_time,
545,	AAB063XM5003A       ,	3200,	UTC2000     ,	20220216-B-AAB063XM5003A-3200-Criteria  ,	20220216,	191120,
546,	ANI020YU1005C       ,	2200,	ICONN       ,	20220215-B-ANI020YU1005C-2200-Criteria  ,	20220215,	170446,
547,	ANI020YU1005C       ,	2200,	ICONN-PLUS  ,	20220215-B-ANI020YU1005C-2200-Criteria  ,	20220215,	170446,
548,	ANI020YU1005C       ,	2200,	RAPID       ,	20220215-B-ANI020YU1005C-2200-Criteria  ,	20220215,	170446,
549,	AAB024MAA010A       ,	2200,	UTC2000     ,	AAB024MAA010A-2200-Criteria             ,	20220214,	143656,
550,	AAB084RB2001A       ,	2200,	UTC1000S    ,	AAB084RB2001A-2200-Criteria             ,	20220214,	143658,
551,	AAB084RB2001A       ,	2200,	UTC2000     ,	AAB084RB2001A-2200-Criteria             ,	20220214,	143658,
552,	AAB084RB2001A       ,	2200,	UTC3000     ,	AAB084RB2001A-2200-Criteria             ,	20220214,	143658,
553,	AAB084RB2001A       ,	2200,	MAXUM       ,	AAB084RB2001A-2200-Criteria             ,	20220214,	143658,
554,	AEU0086B1007A       ,	2200,	RAPID       ,	20220214-A-AEU0086B1007A-2200-Criteria  ,	20220214,	143858,
555,	AAB060EM2001A       ,	2200,	UTC1000S    ,	AAB060EM2001A-2200-Criteria             ,	20220214,	145200,
556,	AAB060EM2001A       ,	2200,	UTC2000     ,	AAB060EM2001A-2200-Criteria             ,	20220214,	145200,
557,	ABW048LF1018A       ,	2200,	UTC1000S    ,	ABW048LF1018A-2200-Criteria             ,	20220214,	174100,
558,	ABU024MAA008A       ,	2200,	UTC1000S    ,	20220214-A-ABU024MAA008A-2200-Criteria  ,	20220214,	182042,
559,	AAS066TS1004B       ,	2200,	MAXUM-PLUS  ,	AAS066TS1004B-2200-Criteria             ,	20220214,	215355,
560,	AAS066TS1004B       ,	2200,	MAXUM       ,	AAS066TS1004B-2200-Criteria             ,	20220214,	215355,
561,	AAS066TS1004B       ,	2200,	ICONN       ,	AAS066TS1004B-2200-Criteria             ,	20220214,	215355,
562,	ABU084CC2004B       ,	2200,	UTC1000S    ,	ABU084CC2004B-2200-Criteria             ,	20220214,	235955,
563,	ABU084CC2004B       ,	2200,	UTC2000     ,	ABU084CC2004B-2200-Criteria             ,	20220214,	235955,
564,	ABU084CC2004B       ,	2200,	UTC3000     ,	ABU084CC2004B-2200-Criteria             ,	20220214,	235955,
565,	AIS048TG1006A       ,	2200,	UTC1000S    ,	AIS048TG1006A-2200-Criteria             ,	20220214,	235956,
566,	AIS048TG1006A       ,	2200,	UTC2000     ,	AIS048TG1006A-2200-Criteria             ,	20220214,	235956,
567,	AAB008YQ3013A       ,	3200,	MAXUM       ,	20220216-L-AAB008YQ3013A-3200-Criteria  ,	20220216,	223447,
568,	ANV132X2A006B       ,	2200,	UTC1000S    ,	20220215-A-ANV132X2A006B-2200-Criteria  ,	20220215,	31225,
569,	ABW032YF1005A       ,	2200,	MAXUM       ,	ABW032YF1005A-2200-Criteria             ,	20201130,	170959,
570,	ANV132X2A006B       ,	2200,	UTC2000     ,	20220215-A-ANV132X2A006B-2200-Criteria  ,	20220215,	31225,
571,	ABU024MA6006A       ,	2200,	UTC1000S    ,	20220215-A-ABU024MA6006A-2200-Criteria  ,	20220215,	52806,
572,	AHQ0415L1003B       ,	2200,	ICONN       ,	AHQ0415L1003B-2200-Criteria             ,	20220215,	63527,
